p,Up,Dist1,Distl,Rel_adp_p,Rel_div_p,Nonrel_adp_p,Nonrel_div_p,Rel_adp_n,Rel_div_n,Nonrel_adp_n,Nonrel_div_n
1.0,9.57279344169459,0.0,0.06840108818902581,-6.709595343452796e-23,0.0021097046345440584,-6.709595343452796e-23,0.02899527983567329,-6.709595343452796e-23,-0.0021097046345440584,-6.709595343452796e-23,-0.02899527983567329
1.1,6.586631456644858,0.016980002801257867,0.14183267482404377,0.0,-0.0063146942426167835,0.0,0.028138149950864198,0.0,0.0063146942426167835,0.0,-0.028138149950864198
1.2000000000000002,4.832512004574174,0.0379785959465972,0.10713407956882164,0.0,-0.01457287470306478,0.0,0.022175306913212747,0.0,0.01457287470306478,0.0,-0.022175306913212765
1.3000000000000003,3.7281591795475837,0.04527430014564359,0.0897969611409795,0.0,-0.018455971253308,0.0,0.018935047256739286,0.0,0.018455971253308008,0.0,-0.018935047256739286
1.4000000000000004,2.9929510826995926,0.047614527147334815,0.07970313338944496,0.0,-0.02071694710548877,0.0,0.017141836001157353,0.0,0.02071694710548877,0.0,-0.017141836001157366
1.5000000000000004,2.480233546797243,0.0481923717531553,0.07294408492940946,0.0,-0.022279537016372298,0.0,0.016003065206809747,0.0,0.022279537016372298,0.0,-0.016003065206809747
1.6000000000000005,2.1087281636998494,0.04839102499273535,0.06770816709160049,0.0,-0.02365234430967959,0.0,0.015133771053899825,0.0,0.02365234430967959,0.0,-0.015133771053899825
1.7000000000000006,1.8308362387098402,0.048483249046595636,0.0634243672792687,0.0,-0.024931254112550674,0.0,0.014435461826831086,0.0,0.024931254112550674,0.0,-0.01443546182683108
1.8000000000000007,1.6173354308716457,0.04868558617334658,0.059672657478262926,0.0,-0.026228124937080606,0.0,0.013832759965817329,0.0,0.0262281249370806,0.0,-0.013832759965817329
1.9000000000000008,1.4495298485751373,0.048163010449249394,0.05712636930746784,0.0,-0.026999009253166128,0.0,0.0135053303640774,0.0,0.026999009253166128,0.0,-0.0135053303640774
2.000000000000001,1.3150544193306026,0.04802820055428114,0.05459649761919762,0.0,-0.027939325961567275,0.0,0.013170938317774628,0.0,0.027939325961567275,0.0,-0.013170938317774628
2.100000000000001,1.2054572379643036,0.04822647386859092,0.0520538485287774,0.0,-0.02904187565552295,0.0,0.012839380533357102,0.0,0.02904187565552295,0.0,-0.012839380533357102
2.200000000000001,1.1148154824675753,0.048065182646768075,0.05013583005322697,0.0,-0.0298260097795018,0.0,0.012650367076609836,0.0,0.0298260097795018,0.0,-0.01265036707660983
2.300000000000001,1.0388808619002956,0.04794117520744649,0.048406105418771474,0.0,-0.030567338952480417,0.0,0.012506865238474248,0.0,0.030567338952480417,0.0,-0.012506865238474234
2.4000000000000012,0.9745383988454344,0.0487428709912957,0.045922719014780775,0.0,-0.03194740183986423,0.0,0.012245312450636585,0.0,0.03194740183986423,0.0,-0.012245312450636602
2.5000000000000013,0.9194659040647709,0.04876348838200403,0.04440158814442689,0.0,-0.032685588180987504,0.0,0.012172481676245078,0.0,0.032685588180987504,0.0,-0.012172481676245071
2.6000000000000014,0.8719022807184611,0.04841691248464546,0.04340597851546705,0.0,-0.03307813185870294,0.0,0.012189306329252022,0.0,0.03307813185870294,0.0,-0.012189306329252024
2.7000000000000015,0.8304889083400417,0.04921120570955626,0.04136342316141768,0.0,-0.034319332324734886,0.0,0.012068749107036819,0.0,0.034319332324734886,0.0,-0.012068749107036819
2.8000000000000016,0.7941667651611946,0.04882094186611321,0.04065783770398964,0.0,-0.034570952326798396,0.0,0.01213862920941678,0.0,0.034570952326798396,0.0,-0.01213862920941678
2.9000000000000017,0.7620992856139858,0.04896316473395438,0.03950414957520471,0.0,-0.035203268572155624,0.0,0.012157228658844693,0.0,0.03520326857215563,0.0,-0.0121572286588447
3.0000000000000018,0.7337646938231589,0.04434914082047189,0.04324754919044954,0.0,-0.031990175147149705,0.0,0.013170938317774647,0.0,0.031990175147149705,0.0,-0.013170938317774647
3.100000000000002,0.7452991903233328,0.04148960186103598,0.10278944157328246,0.0,0.008228118910007874,0.0,0.062115164450596734,0.0,-0.008228118910007874,0.0,-0.062115164450596734
3.200000000000002,0.7481770736296782,0.06317585051379626,0.1258469987170822,0.0,0.024111253313395753,0.0,0.0787531796523705,0.0,-0.024111253313395753,0.0,-0.0787531796523705
3.300000000000002,0.7506445906268326,0.08174263942900012,0.14312549462824375,0.0,0.03558129907362259,0.0,0.09306038292202756,0.0,-0.03558129907362259,0.0,-0.09306038292202756
3.400000000000002,0.7539719135097361,0.0983512448324372,0.1583886155028265,0.0,0.04585644395018755,0.0,0.1060590864065063,0.0,-0.04585644395018755,0.0,-0.10605908640650633
3.500000000000002,0.7561927892402616,0.1124104193614048,0.17115105935824135,0.0,0.054655033700900184,0.0,0.1173301374701226,0.0,-0.05465503370090018,0.0,-0.1173301374701226
3.6000000000000023,0.757364558232035,0.12452034605222621,0.181995865885291,0.0,0.06228953679895704,0.0,0.1273033579621908,0.0,-0.06228953679895704,0.0,-0.1273033579621908
3.7000000000000024,0.7573695303736536,0.134937133124905,0.1911613924798853,0.0,0.0688627477249183,0.0,0.13614230955428142,0.0,-0.0688627477249183,0.0,-0.13614230955428142
3.8000000000000025,0.7562675944491302,0.14388887984462342,0.19889526867777388,0.0,0.07452815846253369,0.0,0.1439716573821465,0.0,-0.0745281584625337,0.0,-0.1439716573821465
3.9000000000000026,0.75431711925638,0.15166453562045198,0.20549148000175876,0.0,0.07946399696362057,0.0,0.1509735683833213,0.0,-0.07946399696362057,0.0,-0.15097356838332127
