country,rel,nonrel,a_div_rel,a_div_nonrel
AT,0.0,1.0,0.0477673935617861,0.112390350877193
BE,1.0,0.0,-0.0638754696725711,-0.0543608124253286
CH,0.0,1.0,0.1508039982616252,0.2622622622622623
CZ,0.0,1.0,0.021374927787406,0.0289952798381659
DE,0.0,1.0,0.0021097046413501,0.0681003584229391
EE,0.0,1.0,0.0723192019950124,0.0494931425163983
ES,0.0,1.0,0.0146972369194591,0.0562846310877808
FI,1.0,0.0,-0.0987821380243573,-0.0057628146800121
FR,0.0,1.0,0.0210097209156475,0.1123470522803114
GB,0.0,1.0,0.0080098582871225,0.0505050505050504
HU,1.0,0.0,-0.1834625322997416,-0.2117943185904355
IE,1.0,0.0,-0.048082117774176,-0.0001796945193172
IL,1.0,0.0,-0.1682368775235528,-0.1347826086956521
IS,0.0,1.0,0.0432468396540252,0.1032028469750888
IT,1.0,0.0,-0.0462962962962962,-0.0317789291882558
LT,1.0,0.0,-0.3430185633575468,-0.3055555555555529
NL,0.0,1.0,-0.0401459854014598,0.0396135265700483
NO,0.0,1.0,0.173728813559322,0.2218925156610622
PL,1.0,0.0,0.0219560878243512,-0.0452155625657204
PT,1.0,0.0,-0.0656167979002624,-0.0376984126984126
RU,1.0,0.0,-0.2179487179487174,-0.1893518518518517
SE,0.0,1.0,0.2337398373983734,0.3230637569533591
SI,1.0,0.0,-0.1779026217228466,-0.1087386318703043
