context,p,decision
24,1,"[-0.2190850428875182, 0.14776631881565527]"
24,2,"[-0.22721187194609122, 0.16007401332410512]"
24,3,"[np.float64(-0.2450953565420078), np.float64(0.16133719737562544)]"
25,0,"[np.float64(-0.05891024921729504), np.float64(-0.02762853208635402)]"
25,1,"[-0.20954633283616103, -0.057358835212539636]"
25,2,"[-0.1339697945573718, -0.034844625945916224]"
25,3,"[-0.1201093011290884, -0.030550222117306944]"
26,0,"[np.float64(-0.08311279189912522), np.float64(-0.31818028483280947)]"
26,1,"[0.03207462974749405, -0.18615779166196594]"
26,2,"[-0.05402053211701327, -0.245470580935704]"
26,3,"[np.float64(-0.07159694687900783), np.float64(-0.2611398513249779)]"
27,0,"[np.float64(0.15125761226265405), np.float64(0.05023678815371173)]"
27,1,"[0.04237402297098658, 0.04734639590370282]"
27,2,"[0.10605171531985327, 0.05645147514064195]"
27,3,"[0.09979847427912769, 0.05623897998379118]"
28,0,"[np.float64(-0.10320353687576786), np.float64(0.10505592419561899)]"
28,1,"[-0.12888328852298653, 0.023799296463906355]"
28,2,"[-0.10522420226004364, 0.09285990165502056]"
28,3,"[-0.11229918163329045, 0.07260674752869035]"
29,0,"[np.float64(-0.011206516634101136), np.float64(-0.2638395223228778)]"
29,1,"[-0.03304261166065415, -0.25943607234209387]"
29,2,"[-0.01011431771202683, -0.27402411660771614]"
29,3,"[np.float64(-0.007075134438766224), np.float64(-0.27886495325048566)]"
30,0,"[np.float64(-0.04229867079528544), np.float64(0.16079275488242342)]"
30,1,"[-0.04345744487309047, 0.1514934646651096]"
30,2,"[-0.04506275208462825, 0.1589303205748292]"
30,3,"[np.float64(-0.04056098396476405), np.float64(0.16208512974143544)]"
31,0,"[np.float64(0.015200796968456767), np.float64(0.03708507925579863)]"
31,1,"[-0.026981473027275906, -0.06799269939808805]"
31,2,"[0.01681591763300086, 0.036688375006119045]"
31,3,"[np.float64(0.03338778325089172), np.float64(0.07027577554665851)]"
32,0,"[np.float64(0.04035916228514455), np.float64(-0.23032351445557003)]"
32,1,"[0.07316166052622186, -0.327571549800364]"
32,2,"[0.08117274863870506, -0.2879867755345922]"
32,3,"[np.float64(0.04035916228514455), np.float64(-0.23032351445557003)]"
33,0,"[np.float64(0.06485467841409201), np.float64(-0.08670809951059853)]"
33,1,"[0.13727257122043834, -0.10146800718276637]"
33,2,"[0.11381728085266356, -0.10901880341739711]"
33,3,"[np.float64(0.06485467841409201), np.float64(-0.08670809951059853)]"
34,0,"[np.float64(-0.09978059404512746), np.float64(-0.1327947802630276)]"
34,1,"[-0.11544167162307611, -0.28058598988321004]"
34,2,"[-0.10432630253448125, -0.21214673059450753]"
34,3,"[np.float64(-0.10152715234727466), np.float64(-0.17415457300131632)]"
35,0,"[np.float64(-0.21389543878450948), np.float64(-0.013407596459577675)]"
35,1,"[0.05833241284512318, -0.045264011294487955]"
35,2,"[-0.07822154414581214, -0.01856784737097661]"
35,3,"[np.float64(-0.1513650667841334), np.float64(-0.012311047139806408)]"
36,0,"[np.float64(-0.21571781460625417), np.float64(0.003868711915226003)]"
36,1,"[0.118039426894158, -0.03756611365697385]"
36,2,"[0.05345394933123224, -0.04097727583063121]"
36,3,"[0.03295225240245679, -0.042432356456755985]"
37,0,"[np.float64(-0.10695877927484276), np.float64(0.30283580345541306)]"
37,1,"[-0.09801249879645108, 0.4619708099634234]"
37,2,"[-0.09894809135905822, 0.37557124908400263]"
37,3,"[-0.09784797355845987, 0.41099884999265535]"
38,0,"[np.float64(-0.14184443091942414), np.float64(-0.09002630147139848)]"
38,1,"[-0.18683206310015113, -0.10752216508090065]"
38,2,"[-0.16124714341903373, -0.09306012888144471]"
38,3,"[np.float64(-0.14009480911004088), np.float64(-0.0823400328906996)]"
39,0,"[np.float64(0.2727442298025203), np.float64(0.04922024592139127)]"
39,1,"[0.33483287698368, 0.04243700404490406]"
39,2,"[0.3100136056117245, 0.04819708800588893]"
39,3,"[np.float64(0.2875079235358049), np.float64(0.05006674368216985)]"
40,0,"[np.float64(0.2420928154159273), np.float64(0.15061946908744844)]"
40,1,"[0.3382329678524939, 0.1626586932119612]"
