country,rel,nonrel
AT,1292,563
BE,1145,591
CZ,820,1225
DE,1683,1069
EE,1064,870
ES,1362,391
FI,1275,582
FR,1202,773
GB,987,846
HU,853,586
IE,1616,861
IT,1543,697
LT,1331,425
NL,870,715
PL,875,580
PT,996,217
SE,846,597
SI,817,422
