country,rel,nonrel
AT,297.0,1561.0
BE,1529.0,208.0
CH,229.0,1204.0
CZ,330.0,1730.0
DE,303.0,2449.0
EE,192.0,1728.0
ES,274.0,1436.0
FI,1562.0,276.0
FR,196.0,1766.0
GB,238.0,1590.0
HU,1156.0,158.0
IE,1014.0,1458.0
IL,1698.0,425.0
IS,86.0,696.0
IT,2151.0,67.0
LT,1282.0,427.0
NL,617.0,966.0
NO,237.0,1246.0
PL,215.0,1220.0
PT,437.0,743.0
RU,1507.0,401.0
SE,158.0,1277.0
SI,396.0,803.0
