p,Dist_p,Dist_inf,Diff
1.1,0.01161345338513426,0.015924853240445628,0.004311399855311367
1.2000000000000002,0.007503185544348852,0.018626364344678282,0.011123178800329429
1.3000000000000003,0.006454350653693069,0.01853961300292961,0.012085262349236542
1.4000000000000004,0.006793178704129713,0.01726678812944908,0.010473609425319368
1.5000000000000004,0.006578798383058836,0.016699984118659493,0.010121185735600658
1.6000000000000005,0.006668710099342776,0.015947370652244237,0.009278660552901462
1.7000000000000006,0.007530122883862864,0.01451690578816573,0.0069867829043028665
1.8000000000000007,0.007758058560397747,0.013795177490779128,0.006037118930381381
1.9000000000000008,0.008167980982686632,0.012952822644504963,0.004784841661818331
2.000000000000001,0.008746065922821726,0.011992971567826905,0.003246905645005179
2.100000000000001,0.009397917288183573,0.011001662235775651,0.0016037449475920784
