country,rel,nonrel
AT,204.0,1654.0
BE,486.0,1251.0
CH,158.0,1275.0
CZ,309.0,1751.0
DE,330.0,2422.0
EE,230.0,1690.0
ES,188.0,1522.0
FI,1691.0,147.0
FR,196.0,1766.0
GB,238.0,1590.0
HU,407.0,907.0
IE,1533.0,939.0
IL,1805.0,318.0
IS,94.0,688.0
IT,1153.0,1065.0
LT,1042.0,667.0
NL,174.0,1409.0
NO,148.0,1335.0
PL,445.0,990.0
PT,861.0,319.0
RU,553.0,1355.0
SE,187.0,1248.0
SI,707.0,492.0
