country,rel,nonrel
AT,223.0,1635.0
BE,1511.0,226.0
CH,201.0,1232.0
CZ,330.0,1730.0
DE,358.0,2394.0
EE,288.0,1632.0
ES,239.0,1471.0
FI,1176.0,662.0
FR,314.0,1648.0
GB,238.0,1590.0
HU,526.0,788.0
IE,1854.0,618.0
IL,828.0,1295.0
IS,102.0,680.0
IT,1353.0,865.0
LT,906.0,803.0
NL,174.0,1409.0
NO,208.0,1275.0
PL,1363.0,72.0
PT,944.0,236.0
RU,897.0,1011.0
SE,144.0,1292.0
SI,779.0,420.0
