country,rel,nonrel
AT,1338.0,520.0
BE,243.0,1494.0
CH,1189.0,244.0
CZ,1360.0,700.0
DE,2284.0,468.0
EE,1133.0,787.0
ES,1009.0,701.0
FI,276.0,1562.0
FR,1766.0,196.0
GB,1389.0,439.0
HU,197.0,1117.0
IE,371.0,2101.0
IL,255.0,1868.0
IS,743.0,39.0
IT,222.0,1996.0
LT,239.0,1470.0
NL,902.0,681.0
NO,905.0,578.0
PL,144.0,1292.0
PT,142.0,1038.0
RU,286.0,1622.0
SE,990.0,445.0
SI,180.0,1019.0
