country,rel,nonrel
AT,204.0,1654.0
BE,1598.0,139.0
CH,143.0,1290.0
CZ,206.0,1854.0
DE,275.0,2477.0
EE,211.0,1709.0
ES,188.0,1522.0
FI,1544.0,294.0
FR,216.0,1746.0
GB,183.0,1645.0
HU,1222.0,92.0
IE,2348.0,124.0
IL,1911.0,212.0
IS,78.0,704.0
IT,1974.0,244.0
LT,1641.0,68.0
NL,158.0,1425.0
NO,148.0,1335.0
PL,1220.0,215.0
PT,1038.0,142.0
RU,1736.0,172.0
SE,144.0,1292.0
SI,1031.0,168.0
