country,rel,nonrel
AT,818.0,1040.0
BE,556.0,1181.0
CH,960.0,473.0
CZ,1483.0,577.0
DE,2477.0,275.0
EE,1882.0,38.0
ES,667.0,1043.0
FI,257.0,1581.0
FR,353.0,1609.0
GB,548.0,1280.0
HU,1196.0,118.0
IE,1360.0,1112.0
IL,318.0,1805.0
IS,579.0,203.0
IT,909.0,1309.0
LT,205.0,1504.0
NL,1472.0,111.0
NO,1275.0,208.0
PL,517.0,918.0
PT,897.0,283.0
RU,1164.0,744.0
SE,201.0,1234.0
SI,1175.0,24.0
