country,rel,nonrel
AT,242.0,1616.0
BE,1720.0,17.0
CH,186.0,1247.0
CZ,206.0,1854.0
DE,358.0,2394.0
EE,230.0,1690.0
ES,171.0,1539.0
FI,1820.0,18.0
FR,216.0,1746.0
GB,201.0,1627.0
HU,1275.0,39.0
IE,1458.0,1014.0
IL,1571.0,552.0
IS,78.0,704.0
IT,1730.0,488.0
LT,1709.0,0.0
NL,206.0,1377.0
NO,178.0,1305.0
PL,1421.0,14.0
PT,979.0,201.0
RU,1641.0,267.0
SE,158.0,1277.0
SI,1103.0,96.0
