country,rel,nonrel
AT,1096.0,762.0
BE,174.0,1563.0
CH,931.0,502.0
CZ,1442.0,618.0
DE,2587.0,165.0
EE,1402.0,518.0
ES,1522.0,188.0
FI,202.0,1636.0
FR,1628.0,334.0
GB,1280.0,548.0
HU,171.0,1143.0
IE,247.0,2225.0
IL,255.0,1868.0
IS,540.0,242.0
IT,222.0,1996.0
LT,222.0,1487.0
NL,1108.0,475.0
NO,1008.0,475.0
PL,144.0,1292.0
PT,130.0,1050.0
RU,191.0,1717.0
SE,1263.0,172.0
SI,120.0,1079.0
