context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,93.0,1.123594016701686,78.0,0.000387389948222
1,79.0,0.9809090424366392,7.0,0.000177575836997
2,92.0,0.9116513567661702,79.0,0.0001968046179271
3,91.0,0.8395529782068532,2.0,0.0007667567299219
4,31.0,1.008958545757126,87.0,0.0021235687394765
5,79.0,0.9380034383295988,18.0,0.000633726397229
6,71.0,0.9832483966561494,80.0,0.0004869517348926
7,77.0,1.0061300902979526,83.0,0.0003099913815352
8,42.0,1.100667912471028,70.0,0.0008144729455481
9,53.0,0.9677949988266648,97.0,0.0012613889824651
10,15.0,0.9754203805693326,24.0,0.001251939144749
11,93.0,1.1393239595830675,61.0,0.0010161908158425
12,69.0,0.9487997598024148,81.0,0.0011035045407458
13,42.0,0.9716417793133962,38.0,0.0005433727164898
14,38.0,0.8110499242085566,20.0,0.0008197591257064
15,5.0,0.8889255658609354,55.0,0.0002376570156265
16,31.0,1.0025825840271885,7.0,0.0007425282491448
17,87.0,0.8907394966193656,88.0,0.0036385422423363
18,5.0,0.992515648692472,56.0,0.0002312798760437
19,77.0,1.004739917731408,46.0,0.0001082876456914
20,79.0,0.991564603184736,12.0,0.0015489982381629
21,93.0,1.170731106998268,14.0,0.0001174457710312
22,30.0,0.9312833532021084,44.0,6.999212362711685e-05
23,69.0,1.096533244568222,33.0,0.0002576287516258
24,18.0,1.219106909706791,17.0,0.000299791270248
25,48.0,0.8888864799247639,22.0,6.79693115282487e-05
26,62.0,0.7644500271513652,94.0,5.347928468868446e-05
27,48.0,1.0102341461243185,45.0,0.0002403021084108
28,12.0,0.8995349960240098,7.0,0.0001435971138247
29,73.0,0.8936506472261527,32.0,0.0003034980581714
30,80.0,0.7993166315385334,64.0,0.0001846385375811
31,24.0,0.8372104569679365,11.0,2.2387770850826327e-05
32,37.0,0.776732015243444,76.0,0.0002866034696125
33,23.0,0.8704998417048289,16.0,5.064491965270021e-05
34,18.0,0.8227748266176382,39.0,8.316293674361097e-05
35,28.0,0.7978349382437907,74.0,0.0003945608575695
36,6.0,0.7658156279963301,3.0,0.0002026512869071
37,6.0,0.8936212953682352,57.0,0.0001462335004255
38,21.0,0.8162286331856938,44.0,9.39661325090116e-05
