context,p,decision
32,0,"[np.float64(-0.04390229737432032), np.float64(0.10558184730400118)]"
32,1,"[-0.10599117683186862, 0.08044311385326555]"
32,2,"[-0.0855739491226957, 0.08193917602247025]"
32,3,"[np.float64(-0.03380309245905323), np.float64(0.10127815577467462)]"
33,0,"[np.float64(0.038786439448681403), np.float64(0.08407654247570884)]"
33,1,"[-0.015063203999673522, 0.1115777212709808]"
33,2,"[-0.0001882819277604711, 0.08775873075730313]"
33,3,"[np.float64(0.022141701442540226), np.float64(0.07792093371233946)]"
34,0,"[np.float64(0.15514681412252218), np.float64(-0.06838359651564858)]"
34,1,"[0.09705014848618006, -0.0990082772283818]"
34,2,"[0.1502441553753166, -0.07843564810330284]"
34,3,"[0.13885471170424135, -0.08235782707704839]"
35,0,"[np.float64(0.19219019360545636), np.float64(-0.021257370927612124)]"
35,1,"[0.0034488464178887984, 0.05267095055518661]"
35,2,"[0.07456739081632328, 0.01064285556745477]"
35,3,"[np.float64(0.19137581945752188), np.float64(-0.03679339153563134)]"
36,0,"[np.float64(0.510006189602736), np.float64(-0.03144693350771463)]"
36,1,"[0.501690740052373, -0.11111434596001755]"
36,2,"[0.5065406992283753, -0.05892437992616992]"
36,3,"[np.float64(0.5110789707881735), np.float64(-0.03217702911240623)]"
37,0,"[np.float64(-0.10604461994660762), np.float64(-0.13363151820924205)]"
37,1,"[0.023139522857866537, -0.2637736492854854]"
37,2,"[-0.03925346135086427, -0.19692565915404417]"
37,3,"[np.float64(-0.1146970866565834), np.float64(-0.1326901964083368)]"
38,0,"[np.float64(0.09431313809822246), np.float64(0.13107759257773854)]"
38,1,"[0.052026656147537084, 0.11191718770195884]"
38,2,"[0.06264809365365943, 0.12939108583813022]"
38,3,"[np.float64(0.08338935658379523), np.float64(0.133493412768469)]"
39,0,"[np.float64(0.12070289911378301), np.float64(-0.1623252315878524)]"
39,1,"[0.18314405590500382, -0.22214057443400914]"
39,2,"[0.1688644450870754, -0.18443383045657974]"
39,3,"[np.float64(0.12604157479405348), np.float64(-0.14752379399482315)]"
40,0,"[np.float64(0.028342370569022626), np.float64(-0.421576981293771)]"
40,1,"[0.06058713326435031, -0.21219088685486776]"
40,2,"[0.02834237056902264, -0.3419627993827248]"
40,3,"[np.float64(0.028342370569022626), np.float64(-0.421576981293771)]"
41,0,"[np.float64(0.059201592123914355), np.float64(0.07196651966479126)]"
41,1,"[-0.02779943094795962, 0.021390390606820145]"
41,2,"[0.027162940204081713, 0.05633900248161226]"
41,3,"[np.float64(0.04761782528225767), np.float64(0.06849978576301113)]"
42,0,"[np.float64(-0.03803741845080511), np.float64(0.5279064133246576)]"
42,1,"[0.10299924288764378, 0.4918471592683259]"
42,2,"[0.013165694342145193, 0.5046042843798764]"
42,3,"[np.float64(-0.01768507852356424), np.float64(0.513078451165435)]"
43,0,"[np.float64(-0.007979231307995042), np.float64(-0.07186263786146103)]"
43,1,"[0.06295839684219201, -0.15473307150412297]"
43,2,"[-0.006637267725825263, -0.1001154698009439]"
43,3,"[np.float64(-0.01984754444367736), np.float64(-0.07536085942975247)]"
44,0,"[np.float64(-0.0700041330992272), np.float64(-0.1325448929847258)]"
44,1,"[0.09601546576213871, 0.03431333427126683]"
44,2,"[-0.01842365719143153, -0.05623112565704219]"
44,3,"[np.float64(-0.08244808954101307), np.float64(-0.13311381427732674)]"
45,0,"[np.float64(0.10746622333136568), np.float64(0.04301212654299565)]"
45,1,"[0.04378474382021001, 0.01682344630576689]"
45,2,"[0.09467976072486618, 0.038380895877444365]"
45,3,"[np.float64(0.11012974791319081), np.float64(0.047729332746268914)]"
46,0,"[np.float64(-0.2547751185459337), np.float64(0.06806184815151392)]"
46,1,"[-0.3806154794783533, 0.066053565138105]"
46,2,"[-0.337882677614921, 0.06187733132654431]"
46,3,"[np.float64(-0.2630421432887219), np.float64(0.06834165670512983)]"
47,0,"[np.float64(0.34324289501788763), np.float64(0.09459040579084779)]"
47,1,"[0.337660912127826, -0.07576685371558381]"
47,2,"[0.31980225615780894, -0.0017595962259112918]"
47,3,"[np.float64(0.3289123582099019), np.float64(0.08263110569701898)]"
48,0,"[np.float64(-0.2458175075535028), np.float64(0.24103586481843406)]"
48,1,"[-0.289304925659426, 0.29362308745309434]"
48,2,"[-0.2501398223616188, 0.24517256121131115]"
48,3,"[np.float64(-0.23739292244898802), np.float64(0.22587929717209004)]"
49,0,"[np.float64(0.0017931148134434638), np.float64(-0.07660816526708977)]"
49,1,"[0.028775654521640687, -0.010554607609541009]"
49,2,"[0.02591961558578848, -0.02046689482628094]"
49,3,"[np.float64(-0.009651247264088891), np.float64(-0.07652484090558734)]"
50,0,"[np.float64(0.06866560111388315), np.float64(-0.059928743005134136)]"
50,1,"[0.16380176147990524, -0.03867965552539693]"
50,2,"[0.07463106735977361, -0.059411316557775755]"
50,3,"[np.float64(0.06188791989544658), np.float64(-0.06310685775461745)]"
51,0,"[np.float64(0.03815958083993777), np.float64(0.057813548401323266)]"
51,1,"[-0.0491224438685532, -0.015029946057831839]"
51,2,"[0.026820933042668013, 0.038918983575726644]"
51,3,"[np.float64(0.052989636277714636), np.float64(0.07444254838847003)]"
52,0,"[np.float64(0.11531604361039002), np.float64(-0.10593139093692557)]"
52,1,"[0.19064157134735993, -0.10550143077384017]"
52,2,"[0.1487202651593199, -0.105763923488883]"
52,3,"[np.float64(0.12556371879000217), np.float64(-0.10625863617985619)]"
53,0,"[np.float64(-0.36679579072994295), np.float64(-0.1055473490324985)]"
53,1,"[-0.10232901647538387, -0.0728854374202706]"
53,2,"[-0.1881584699838149, -0.10155617975086718]"
53,3,"[np.float64(-0.35188407130709703), np.float64(-0.11265689096256903)]"
54,0,"[np.float64(-0.12730967423631034), np.float64(-0.15141141847751388)]"
54,1,"[-0.19184789713415185, -0.1309706323857688]"
54,2,"[-0.19115254360082143, -0.14792764758218319]"
54,3,"[np.float64(-0.15374744220362166), np.float64(-0.15363604197685382)]"
55,0,"[np.float64(0.33518041649435026), np.float64(0.35544329367775385)]"
55,1,"[0.42393395096680536, 0.35079439787438293]"
55,2,"[0.3448972042609821, 0.36082856287930287]"
55,3,"[np.float64(0.3014686750624847), np.float64(0.3647955481412709)]"
56,0,"[np.float64(-0.13914331916801176), np.float64(0.43686645464276774)]"
56,1,"[-0.08145322368591813, 0.3405539855187283]"
56,2,"[-0.12816218718856354, 0.3586466011315852]"
56,3,"[np.float64(-0.13914331916801176), np.float64(0.43686645464276774)]"
57,0,"[np.float64(0.10061217772278228), np.float64(0.10308867992330746)]"
57,1,"[0.3111693065893537, -0.06632491840992363]"
57,2,"[0.15634663406222782, 0.01639629571047311]"
57,3,"[np.float64(0.06858925892898873), np.float64(0.08778036625090091)]"
58,0,"[np.float64(0.05926075971721361), np.float64(-0.03969729005447971)]"
58,1,"[0.10357921112782278, -0.07603484582591771]"
58,2,"[0.05978675952419226, -0.04514433431355674]"
58,3,"[np.float64(0.054657885507922624), np.float64(-0.020232654574903423)]"
59,0,"[np.float64(-0.32519054581421386), np.float64(-0.13800806688057765)]"
59,1,"[-0.2957859534602782, -0.2207427062771287]"
59,2,"[-0.2920122424097878, -0.14376653094119468]"
59,3,"[np.float64(-0.3079639088028287), np.float64(-0.10269062753280242)]"
60,0,"[np.float64(-0.02122245426251547), np.float64(-0.11778523253390355)]"
60,1,"[-0.016327743369702913, -0.2788564378405381]"
60,2,"[-0.040692080847260684, -0.1652009774361144]"
60,3,"[np.float64(-0.043427514025346656), np.float64(-0.1331306312675244)]"
61,0,"[np.float64(-0.01759473495826637), np.float64(-0.04066300408088276)]"
61,1,"[-0.036602214851545245, 0.0884287277601034]"
61,2,"[-0.017594734958266398, 0.04485947526466162]"
61,3,"[-0.017594734958266398, 0.04485947526466162]"
62,0,"[np.float64(-0.174590448478047), np.float64(-0.08160088622944937)]"
62,1,"[-0.19323974943317912, -0.060439330837823]"
62,2,"[-0.179798008792122, -0.07664581546490379]"
62,3,"[np.float64(-0.17048060341561083), np.float64(-0.0854277471416533)]"
63,0,"[np.float64(0.28976235873033973), np.float64(0.14087093570799447)]"
63,1,"[0.35564517169108933, 0.18551965361445033]"
63,2,"[0.31953775060676126, 0.19928731421184814]"
63,3,"[np.float64(0.2789114527047259), np.float64(0.16487736071114936)]"
64,0,"[np.float64(0.004954060457986707), np.float64(0.1133968858022763)]"
64,1,"[0.073655792313998, 0.09885825938404007]"
64,2,"[np.float64(-0.02395560122455385), np.float64(0.11999422409368968)]"
64,3,"[np.float64(-0.011115698675885764), np.float64(0.11697415854170409)]"
65,0,"[np.float64(0.12810114525969424), np.float64(0.0832380652348011)]"
65,1,"[0.13796627559477564, -0.02662862233792848]"
65,2,"[0.11132450219400566, 0.07365245551547477]"
65,3,"[np.float64(0.11669056354663085), np.float64(0.09791205216108799)]"
66,0,"[np.float64(-0.19415945574797497), np.float64(-0.1549628013158207)]"
66,1,"[-0.16800005807789453, -0.1665029592431622]"
66,2,"[-0.19075339923866103, -0.15720477305399844]"
66,3,"[np.float64(-0.1991835190032511), np.float64(-0.152104880719097)]"
67,0,"[np.float64(0.2560645244134333), np.float64(-0.03999570406730166)]"
67,1,"[0.15988524910832408, 0.12036404735096656]"
67,2,"[0.20601942638712353, 0.05625255784417914]"
67,3,"[np.float64(0.2741763107371867), np.float64(-0.047965868944567516)]"
68,0,"[np.float64(-0.0003357531032039257), np.float64(0.12241047074074074)]"
68,1,"[-0.0667959455001806, 0.09636273163190483]"
68,2,"[-0.05503100895106364, 0.09982725535484041]"
68,3,"[np.float64(0.028360516926474774), np.float64(0.13999268991265784)]"
69,0,"[np.float64(0.1413001612779734), np.float64(-0.4077019393227725)]"
69,1,"[0.17363467726020404, -0.4218922501492945]"
69,2,"[0.16039644848274537, -0.4143790123941973]"
69,3,"[0.15717174781393387, -0.4130900576111093]"
70,0,"[np.float64(-0.11610169696952596), np.float64(0.4108389363366277)]"
70,1,"[-0.0015560310073666891, 0.11569082244840362]"
70,2,"[-0.03263116671189721, 0.14871241719050457]"
70,3,"[np.float64(-0.11610169696952596), np.float64(0.4108389363366277)]"
71,0,"[np.float64(0.28472564649179843), np.float64(0.30092420289839783)]"
71,1,"[0.2625404300483539, 0.32948808664295975]"
71,2,"[0.27615406817385924, 0.29688449597776245]"
71,3,"[np.float64(0.2866439591925547), np.float64(0.28557587938572526)]"
72,0,"[np.float64(-0.36058076917140136), np.float64(-0.17881135080699498)]"
72,1,"[-0.22155818040815614, -0.13277526964630723]"
72,2,"[-0.23836031420104326, -0.15586328810360672]"
72,3,"[np.float64(-0.3122539902777055), np.float64(-0.18267233348817724)]"
73,0,"[np.float64(-0.09281075463286613), np.float64(-0.19274772035789425)]"
73,1,"[-0.053717631500686744, -0.31932722071161707]"
73,2,"[-0.0860194788107796, -0.22913792629213886]"
73,3,"[np.float64(-0.10234463323736216), np.float64(-0.19288942779998014)]"
74,0,"[np.float64(-0.4403292283342157), np.float64(0.16690728686081507)]"
74,1,"[-0.2353946504689549, 0.3231398496728183]"
74,2,"[-0.32220251633359787, 0.22813686143090905]"
74,3,"[np.float64(-0.40474921967337124), np.float64(0.16867508406367238)]"
0,0,"[np.float64(0.2916311677763654), np.float64(0.2781199180719747)]"
0,1,"[0.18457264671758994, -0.02826912917178523]"
0,2,"[0.18916840212011737, -0.002333640978212724]"
0,3,"[np.float64(0.3274563847028119), np.float64(0.29019961929757687)]"
1,0,"[np.float64(0.003929604982527188), np.float64(-0.170500356050732)]"
1,1,"[0.04275865637021084, 0.1687651043782012]"
1,2,"[1.580250695865093e-05, -0.02871952395196649]"
1,3,"[np.float64(-0.00689293735290504), np.float64(-0.1175684319492015)]"
2,0,"[np.float64(-0.048878614640916834), np.float64(-0.03873335292198579)]"
2,1,"[-0.2881284375634855, -0.2544056939464908]"
2,2,"[-0.17414488136663292, -0.1185904993421261]"
2,3,"[np.float64(-0.0665418537137202), np.float64(-0.03837491333181668)]"
3,0,"[np.float64(0.1296036636234248), np.float64(-0.07520828943017507)]"
3,1,"[0.21265793930916985, 0.1883487083177741]"
3,2,"[0.2106226134988734, 0.17924139568358105]"
3,3,"[np.float64(0.10610447683477736), np.float64(-0.05405399360889923)]"
4,0,"[np.float64(-0.01493726541047101), np.float64(0.16459594303904654)]"
4,1,"[0.20407561158031445, 0.2546862390488672]"
4,2,"[0.07623304054368782, 0.2002784908780702]"
4,3,"[np.float64(0.00849567316691302), np.float64(0.173154952552119)]"
5,0,"[np.float64(0.11714230263402405), np.float64(0.03139967305395518)]"
5,1,"[0.04886061220446197, 0.052950491301590095]"
5,2,"[0.08975200156686658, 0.056356195944491705]"
5,3,"[0.10296333678081815, 0.05386563741019161]"
6,0,"[np.float64(0.17597835767411876), np.float64(-0.35714438798430265)]"
6,1,"[0.129899469442245, -0.4889357542456624]"
6,2,"[0.17049971925445728, -0.41208162826759004]"
6,3,"[np.float64(0.17348961141188574), np.float64(-0.4024227654509989)]"
7,0,"[np.float64(-0.23328393722004573), np.float64(-0.0639811837959514)]"
7,1,"[-0.12408792314390665, 0.016216433587501647]"
7,2,"[-0.1393853147229723, -0.02060718591790458]"
7,3,"[np.float64(-0.2025395068697894), np.float64(-0.07936846895922775)]"
8,0,"[np.float64(-0.23497484328670395), np.float64(0.016904847129707724)]"
8,1,"[-0.11616487655828497, 0.0999587915116776]"
8,2,"[-0.16125296715999143, 0.06844221163870248]"
8,3,"[np.float64(-0.22536897896298985), np.float64(0.030523713442578343)]"
9,0,"[np.float64(-0.12460697140735649), np.float64(-0.1369088962551957)]"
9,1,"[-0.22800767126068322, -0.05283815956251545]"
9,2,"[-0.20895693023456458, -0.07688397331716534]"
9,3,"[np.float64(-0.12386307481200695), np.float64(-0.14227416980261742)]"
10,0,"[np.float64(0.4477247403987235), np.float64(-0.03687834500072104)]"
10,1,"[0.5009983944275082, 0.10682731984826796]"
10,2,"[0.46540905616586103, 0.0720581326576129]"
10,3,"[np.float64(0.4417818369616361), np.float64(-0.004212179861855841)]"
11,0,"[np.float64(0.15945256335483254), np.float64(0.11739174791737358)]"
11,1,"[-0.07792703129423731, 0.06598798430731281]"
11,2,"[0.03938421181397845, 0.10124249471178497]"
11,3,"[np.float64(0.09766455497986315), np.float64(0.11274745757913618)]"
12,0,"[np.float64(-0.004937900345245383), np.float64(-0.051042213942144025)]"
12,1,"[0.0023077059242573167, 0.12980622935633948]"
12,2,"[-0.013591127085543109, -0.0022825275266911763]"
12,3,"[np.float64(-0.004937900345245383), np.float64(-0.051042213942144025)]"
13,0,"[np.float64(-0.17880112108195134), np.float64(0.046747757047592875)]"
13,1,"[-0.1658328485917482, 0.18956703190385094]"
13,2,"[-0.1755340278404242, 0.06031458877701959]"
13,3,"[np.float64(-0.18635169984868377), np.float64(0.014214297492335354)]"
14,0,"[np.float64(-0.13571435299875212), np.float64(-0.14615249420932866)]"
14,1,"[-0.0907369594011135, -0.20694234646455517]"
14,2,"[-0.12728119199547985, -0.1858133491423151]"
14,3,"[np.float64(-0.14757987315690269), np.float64(-0.14872939352830425)]"
15,0,"[np.float64(-0.42015801125225005), np.float64(0.2713189523092327)]"
15,1,"[-0.4078366777263339, 0.1633030887944929]"
15,2,"[-0.41918788643911153, 0.24605741729211195]"
15,3,"[np.float64(-0.42079468288859945), np.float64(0.2719047497628141)]"
16,0,"[np.float64(0.11845605940047318), np.float64(-0.1397181803844088)]"
16,1,"[0.08232772508841235, 0.0351355201046506]"
16,2,"[0.09856256836219794, -0.014901634549925602]"
16,3,"[np.float64(0.12390408914286408), np.float64(-0.13241005962375343)]"
17,0,"[np.float64(0.053146800129689746), np.float64(0.09153268521736585)]"
17,1,"[0.1790920239875549, 0.10855982279157939]"
17,2,"[0.11673496067579615, 0.12127303276150453]"
17,3,"[np.float64(0.008433832604528683), np.float64(0.09185233409742043)]"
18,0,"[np.float64(0.24375805026722175), np.float64(0.06846059523024589)]"
18,1,"[0.1843326279604206, 0.14738245317851406]"
18,2,"[0.1923651988066636, 0.137469992870123]"
18,3,"[np.float64(0.230856154433786), np.float64(0.07765631451965858)]"
19,0,"[np.float64(-0.01754164138021032), np.float64(-0.1903686818786176)]"
19,1,"[0.027142087311445462, -0.10210211750213959]"
19,2,"[0.006428102137333788, -0.14652501871898166]"
19,3,"[np.float64(-0.01449832944041509), np.float64(-0.17953837699760483)]"
20,0,"[np.float64(-0.3974984435463669), np.float64(0.28057382633874084)]"
20,1,"[-0.25833651625738274, 0.11555748394690289]"
20,2,"[-0.29937903718645364, 0.13979416457126628]"
20,3,"[np.float64(-0.35878351105373407), np.float64(0.20804272950601663)]"
21,0,"[np.float64(0.05393444365392245), np.float64(0.027826661957267733)]"
21,1,"[-0.03757115880514718, -0.10799103500027904]"
21,2,"[0.023939266147706764, -0.041922265609864534]"
21,3,"[0.05393444365392244, -0.008316493921446372]"
22,0,"[np.float64(-0.10056683067355984), np.float64(0.2678388883370208)]"
22,1,"[-0.06753211541671612, 0.08892524673173176]"
22,2,"[-0.08744060098493794, 0.18456351353705858]"
22,3,"[np.float64(-0.10056683067355984), np.float64(0.2678388883370208)]"
23,0,"[np.float64(0.05737631986845561), np.float64(0.09289103036618816)]"
23,1,"[0.017087262187990972, 0.024500159561147466]"
23,2,"[0.05116346277498249, 0.0725260993399666]"
23,3,"[np.float64(0.06351907595285985), np.float64(0.1113350240513802)]"
24,0,"[np.float64(-0.19761519297580285), np.float64(-0.3784875210226527)]"
24,1,"[-0.019801877881002343, -0.24508898041096477]"
24,2,"[-0.09829912620981679, -0.3044787599601077]"
24,3,"[np.float64(-0.15488361029663708), np.float64(-0.35221046291423797)]"
25,0,"[np.float64(0.1024265044950222), np.float64(0.016316390371523055)]"
25,1,"[0.07760897558600026, 0.11791387412024591]"
25,2,"[0.09899911359978893, 0.09251695976143545]"
25,3,"[np.float64(0.11175274194639215), np.float64(0.016583114275611478)]"
26,0,"[np.float64(0.0921152184751585), np.float64(-0.14413701129120693)]"
26,1,"[-0.03810895826653801, 0.20098661182061026]"
26,2,"[0.05637202503821712, 0.034134452422306116]"
26,3,"[np.float64(0.13512728471277205), np.float64(-0.16394675495287714)]"
27,0,"[np.float64(-0.07523300274244359), np.float64(-0.016444264114658404)]"
27,1,"[-0.060565210977203146, 0.024869676042174355]"
27,2,"[-0.09236954576147438, -0.013839064314381668]"
27,3,"[np.float64(-0.08637216784861029), np.float64(-0.021302898316712574)]"
28,0,"[np.float64(0.19567284499890472), np.float64(-0.12137922735812245)]"
28,1,"[0.22644560288162174, -0.07875443908091961]"
28,2,"[0.1952783040145302, -0.09133265587272169]"
28,3,"[np.float64(0.190141206340368), np.float64(-0.10404174261139412)]"
29,0,"[np.float64(0.018653331342677236), np.float64(-0.10523120407263684)]"
29,1,"[-0.09644869537587655, -0.05422782977111336]"
29,2,"[-0.08074408363301686, -0.04664709050496052]"
29,3,"[np.float64(0.0046106316457266636), np.float64(-0.08105566907775871)]"
30,0,"[np.float64(0.19618090306010583), np.float64(0.22543121468073998)]"
30,1,"[0.1982891591683345, 0.2534893669584958]"
30,2,"[0.18721213963046807, 0.23969063727754325]"
30,3,"[np.float64(0.18966267767407463), np.float64(0.21919204478612309)]"
31,0,"[np.float64(0.2753331693721584), np.float64(0.07289957778108652)]"
31,1,"[0.11147329230555557, 0.1369725689036609]"
31,2,"[0.21329481962327962, 0.07289957778108652]"
31,3,"[np.float64(0.28344948735806036), np.float64(0.03195237874023458)]"
32,0,"[np.float64(-0.13957560851739664), np.float64(-0.12494285278744897)]"
32,1,"[-0.18191565793617856, -0.10775481255102734]"
32,2,"[-0.1675413430454571, -0.11220726004985122]"
32,3,"[np.float64(-0.133294465465022), np.float64(-0.12810976156085582)]"
33,0,"[np.float64(0.21706116644781157), np.float64(-0.0983906731295549)]"
33,1,"[0.18454722589699973, 0.07620687062169108]"
33,2,"[0.21489402545315073, -0.03581379999309575]"
33,3,"[np.float64(0.22316015599859051), np.float64(-0.08851731032207014)]"
34,0,"[np.float64(-0.06834399657990148), np.float64(0.034657427061672276)]"
34,1,"[-0.09240662176189186, -0.10293565497439305]"
34,2,"[-0.06865844332596505, -0.050459753141026104]"
34,3,"[np.float64(-0.06365172113640802), np.float64(-0.01672757925434861)]"
35,0,"[np.float64(0.20036181854375282), np.float64(-0.08036632814722877)]"
35,1,"[0.08078500634344296, 0.014928981766835159]"
35,2,"[0.08086883245777671, 0.01489457966841809]"
35,3,"[np.float64(0.21223004173051685), np.float64(-0.08602564000607812)]"
36,0,"[np.float64(0.19339259094716987), np.float64(0.011454233984374045)]"
36,1,"[0.16149516970780856, 0.12759194577529254]"
36,2,"[0.16392262648893824, 0.03873340514595156]"
36,3,"[np.float64(0.16885114014514985), np.float64(-0.023586131743796854)]"
37,0,"[np.float64(-0.15619918479907874), np.float64(-0.20549496426723018)]"
37,1,"[-0.15406716975293006, -0.25148932717154004]"
37,2,"[-0.15197587635836768, -0.24188741904185518]"
37,3,"[np.float64(-0.15753635662712798), np.float64(-0.21314923057782673)]"
38,0,"[np.float64(0.11063618378860715), np.float64(0.36294284481550554)]"
38,1,"[0.11267771267635705, 0.3021350333296071]"
38,2,"[0.12767849233220782, 0.36210484661908315]"
38,3,"[np.float64(0.12714074692862015), np.float64(0.37678351258834575)]"
39,0,"[np.float64(0.0015861378597185893), np.float64(-0.04048392185956143)]"
39,1,"[-0.1282486304739762, 0.015946185723151395]"
39,2,"[-0.09859813989421963, 0.003926315169132347]"
39,3,"[np.float64(0.0015861378597185893), np.float64(-0.04048392185956143)]"
40,0,"[np.float64(0.33525850620175224), np.float64(-0.13776809459278555)]"
40,1,"[0.2471561013806815, -0.07690192692876398]"
40,2,"[0.2467896615936661, -0.09149563212435266]"
40,3,"[np.float64(0.28930077438875107), np.float64(-0.15045767644503433)]"
41,0,"[np.float64(-0.18874821807197442), np.float64(0.10190939916175429)]"
41,1,"[-0.016927576784062162, 0.26173184816473904]"
41,2,"[np.float64(-0.18476444659903007), np.float64(0.12635709484887564)]"
41,3,"[np.float64(-0.11566220722485976), np.float64(0.18475783095628265)]"
42,0,"[np.float64(0.11628297706728719), np.float64(0.17157858866862039)]"
42,1,"[0.2194078966921267, 0.24143947985831066]"
42,2,"[0.1426299125480637, 0.21184708491347243]"
42,3,"[np.float64(0.08186620798648205), np.float64(0.16847403030434882)]"
43,0,"[np.float64(-0.29645537655540205), np.float64(-0.16293905587247084)]"
43,1,"[-0.286736132478588, -0.21065525285253806]"
43,2,"[-0.3126265282262398, -0.1577643096467786]"
43,3,"[np.float64(-0.3180995698829634), np.float64(-0.1448586300635725)]"
44,0,"[np.float64(0.09567233820485865), np.float64(-0.02129051281750378)]"
44,1,"[-0.019303245472029707, 0.06369427051246855]"
44,2,"[0.06725953020189081, -0.020961990105737974]"
44,3,"[np.float64(0.10943275225323068), np.float64(-0.044486537794349634)]"
45,0,"[np.float64(0.047994328693160504), np.float64(-0.19480175630340374)]"
45,1,"[-0.02199658359493644, -0.2270865577716662]"
45,2,"[0.03862386959543674, -0.19660129082114003]"
45,3,"[np.float64(0.06596790421110307), np.float64(-0.19112863887919612)]"
46,0,"[np.float64(0.2613770340490724), np.float64(-0.29576519500646015)]"
46,1,"[-0.012606338764878322, -0.2690797493516135]"
46,2,"[0.1893928256526392, -0.2855141491707687]"
46,3,"[np.float64(0.3000140711201271), np.float64(-0.29781027157103845)]"
47,0,"[np.float64(-0.20274379130006404), np.float64(-0.21954187309018328)]"
47,1,"[-0.3096890469753226, -0.29724343019568544]"
47,2,"[-0.2691273370049075, -0.27696526017230955]"
47,3,"[np.float64(-0.21532769557604656), np.float64(-0.23721414770687665)]"
48,0,"[np.float64(0.05322720123323815), np.float64(0.06608177276695754)]"
48,1,"[0.02732351013956265, -0.03432964368222248]"
48,2,"[0.004589659304691643, 0.020977044872703868]"
48,3,"[np.float64(0.033934606542557505), np.float64(0.07487261713590969)]"
49,0,"[np.float64(0.08257675548362098), np.float64(-0.16940409181142235)]"
49,1,"[0.045287637242812234, -0.17974813955442287]"
49,2,"[0.08359879811567618, -0.17550999069596135]"
49,3,"[np.float64(0.09005057117286765), np.float64(-0.17038919268446215)]"
50,0,"[np.float64(0.1640237051926734), np.float64(-0.057782194242772075)]"
50,1,"[0.015805500569548298, -0.012934308875842335]"
50,2,"[0.08893070421674733, -0.052657646112402666]"
50,3,"[np.float64(0.15459249154514357), np.float64(-0.06798938625179284)]"
51,0,"[np.float64(0.13350465933487723), np.float64(-0.02453392529422077)]"
51,1,"[0.23565088790270924, -0.0033990394218502973]"
51,2,"[0.13586703324484273, -0.01521768169859547]"
51,3,"[np.float64(0.10745247975361186), np.float64(-0.023424882723495716)]"
52,0,"[np.float64(0.0488415799254918), np.float64(0.015184646357792056)]"
52,1,"[0.046182114437441475, 0.0710094104471631]"
52,2,"[0.048536014517090074, 0.034770931011573525]"
52,3,"[np.float64(0.04929582045530772), np.float64(0.014261236908423548)]"
53,0,"[np.float64(-0.2874466758474969), np.float64(-0.2700556605894142)]"
53,1,"[0.13997484200251203, -0.18812750417060348]"
53,2,"[-0.07032713311137859, -0.22825585602681625]"
53,3,"[np.float64(-0.28585760880382227), np.float64(-0.26725333226018605)]"
54,0,"[np.float64(-0.06846216319642966), np.float64(-0.15446268540726774)]"
54,1,"[-0.01668388049758274, 0.031175764958307532]"
54,2,"[-0.04839299001152776, -0.1189696468850785]"
54,3,"[np.float64(-0.06360659281658589), np.float64(-0.17381493992238675)]"
55,0,"[np.float64(-0.012634552260958283), np.float64(0.060593098060995526)]"
55,1,"[-0.07838506735764783, 0.06098882736157815]"
55,2,"[-0.0783831681615765, 0.06093225635038091]"
55,3,"[np.float64(0.007560425613118427), np.float64(0.06253535249803957)]"
56,0,"[np.float64(0.005586553766540256), np.float64(0.07805301664528452)]"
56,1,"[-0.057983954513261986, -0.014346071833351931]"
56,2,"[-0.004691931120730852, 0.0632526774659874]"
56,3,"[np.float64(0.01660648087865675), np.float64(0.08497265482231194)]"
57,0,"[np.float64(0.09492582239850292), np.float64(-0.10203153944132784)]"
57,1,"[0.10290959882389135, -0.08992677943982803]"
57,2,"[0.09548768442300154, -0.10106828647142016]"
57,3,"[np.float64(0.09424465305015323), np.float64(-0.10347481228087616)]"
58,0,"[np.float64(0.1682742274521958), np.float64(0.10361326916907554)]"
58,1,"[0.3755977731601841, 0.03140550114346784]"
58,2,"[0.3113737344292958, 0.03881842359951104]"
58,3,"[np.float64(0.19599397472721036), np.float64(0.08524845109625123)]"
59,0,"[np.float64(0.2057752335211208), np.float64(0.01720628256572594)]"
59,1,"[0.22926168084874748, 0.040086690646137735]"
59,2,"[0.22274238286638515, 0.029787904130252563]"
59,3,"[np.float64(0.19658354808346978), np.float64(0.010656272888242474)]"
60,0,"[np.float64(-0.029244088915857787), np.float64(0.05704980354624181)]"
60,1,"[-0.10393158479068437, -0.031005343920449305]"
60,2,"[-0.0353975738672975, 0.019597361188016887]"
60,3,"[np.float64(-0.01291748191048709), np.float64(0.04956681911550048)]"
61,0,"[np.float64(0.16916382228908625), np.float64(0.04691280242181127)]"
61,1,"[0.23035177776730265, 0.1405078742448707]"
61,2,"[0.21751993856906462, 0.07512116849752531]"
61,3,"[np.float64(0.17960587758814606), np.float64(0.03261137585748057)]"
62,0,"[np.float64(0.003542039461568891), np.float64(0.03755395892107416)]"
62,1,"[-0.15489466034558302, -0.018578421350469235]"
62,2,"[-0.03544881183309373, 0.014737577307703455]"
62,3,"[np.float64(0.04499697464302979), np.float64(0.050412279721488665)]"
63,0,"[np.float64(0.11015917703095186), np.float64(-0.17736099447144177)]"
63,1,"[0.06956474610646879, -0.2023589883452907]"
63,2,"[0.09256133416829039, -0.18973488792999638]"
63,3,"[np.float64(0.1155110645354827), np.float64(-0.1793765663822906)]"
64,0,"[np.float64(0.11989178357254641), np.float64(-0.2442676011513379)]"
