context,p,decision
24,1,"[-0.17494131244197508, -0.1927777071775213]"
24,2,"[-0.11269204484774935, -0.16543384322194696]"
24,3,"[np.float64(-0.05321411533920441), np.float64(-0.15146527675492116)]"
25,0,"[np.float64(0.14909880128864944), np.float64(-0.28770411751725333)]"
25,1,"[-0.026761079365414484, -0.2714539793215842]"
25,2,"[0.02858680955505581, -0.28488238088773576]"
25,3,"[np.float64(0.09703321985689885), np.float64(-0.28967456380136014)]"
26,0,"[np.float64(-0.09888190968902044), np.float64(-0.15648938471116514)]"
26,1,"[0.11632363428410063, -0.11261011422193515]"
26,2,"[0.015780345204890356, -0.1517785024625321]"
26,3,"[np.float64(-0.07112044281420825), np.float64(-0.16112818676204485)]"
27,0,"[np.float64(0.25378516951804875), np.float64(-0.13356007115346505)]"
27,1,"[0.11114433681494665, -0.23016400265405323]"
27,2,"[0.21226610927701012, -0.16951569837803976]"
27,3,"[np.float64(0.2691881609262751), np.float64(-0.12373632688453835)]"
28,0,"[np.float64(0.04996083933979545), np.float64(0.3181019591240245)]"
28,1,"[0.04786248148075763, 0.3859214281116855]"
28,2,"[0.04929163696098765, 0.34070003995599624]"
28,3,"[np.float64(0.05258058181828782), np.float64(0.3190891135145547)]"
29,0,"[np.float64(0.06132358836936788), np.float64(0.050000240495879006)]"
29,1,"[0.02032410497731643, 0.04248309514034712]"
29,2,"[0.05174003223620122, 0.051711119249540714]"
29,3,"[0.05936263512727741, 0.05044399816481437]"
30,0,"[np.float64(-0.09850843456314247), np.float64(-0.047218767642438556)]"
30,1,"[-0.09436189865335293, -0.08849101456161992]"
30,2,"[-0.09186786114832117, -0.05097007558338269]"
30,3,"[np.float64(-0.09814709147590958), np.float64(-0.039571265069972196)]"
31,0,"[np.float64(-0.18681445073107825), np.float64(-0.2270622761664626)]"
31,1,"[-0.15605441635672862, -0.18680083246334275]"
31,2,"[-0.1485925345446611, -0.1989629092296853]"
31,3,"[np.float64(-0.1732749389660659), np.float64(-0.23254618005894861)]"
32,0,"[np.float64(0.04046950839717699), np.float64(0.19601466723835662)]"
32,1,"[0.18572215884270654, 0.22247458276116522]"
32,2,"[0.08845344397428521, 0.26316348747050977]"
32,3,"[np.float64(0.06682961083999607), np.float64(0.26419630210241024)]"
33,0,"[np.float64(0.2885603512885311), np.float64(-0.15073519967815965)]"
33,1,"[0.05343548087524787, -0.08045059633736855]"
33,2,"[0.12280078132630043, -0.09065200014252764]"
33,3,"[np.float64(0.27681583076579996), np.float64(-0.12692275436568454)]"
34,0,"[np.float64(0.31905047194367997), np.float64(0.08065487846363303)]"
34,1,"[0.3209403859199537, 0.0897485826208387]"
34,2,"[0.3180107238463328, 0.07681423841280825]"
34,3,"[np.float64(0.31761503727884766), np.float64(0.07487291582029815)]"
35,0,"[np.float64(0.14042315203515957), np.float64(0.2762484465068661)]"
35,1,"[0.023987346144195038, 0.24414242411322362]"
35,2,"[0.07078979476463654, 0.2717718992905301]"
35,3,"[np.float64(0.1190407934461544), np.float64(0.2805888367674345)]"
36,0,"[np.float64(0.0237424769471549), np.float64(0.06530778452441008)]"
36,1,"[-0.150126942228551, 0.18140498542769595]"
36,2,"[np.float64(0.02421019363322857), np.float64(0.05990168068682922)]"
36,3,"[np.float64(-0.01326334375121431), np.float64(0.07936652761529127)]"
37,0,"[np.float64(0.021917858000231837), np.float64(0.08323163275054782)]"
37,1,"[0.028667111187682504, 0.0006048150482549086]"
37,2,"[0.02665407405605846, 0.07212165935115838]"
37,3,"[np.float64(0.008695876432723529), np.float64(0.12224073376154716)]"
38,0,"[np.float64(0.04630768295764553), np.float64(0.18351655415529675)]"
38,1,"[0.07545035404609432, -0.044431517050494106]"
38,2,"[0.068734192421496, -0.015797841333922605]"
38,3,"[np.float64(0.038806236543433986), np.float64(0.13581506581813854)]"
39,0,"[np.float64(0.06764492506769963), np.float64(-0.058506144199609686)]"
39,1,"[0.11318642158162455, -0.041637123520039454]"
39,2,"[0.09496213175673382, -0.049986970527968994]"
39,3,"[np.float64(0.08280784297250095), np.float64(-0.05499087881921061)]"
40,0,"[np.float64(-0.19173371703686792), np.float64(0.12460877482921051)]"
40,1,"[-0.1740774425768294, 0.01735584664323246]"
40,2,"[-0.19272573798219284, 0.08432309516635172]"
40,3,"[np.float64(-0.19806034982947554), np.float64(0.11456510760668642)]"
41,0,"[np.float64(-0.016668110104692616), np.float64(-0.04261091098767719)]"
41,1,"[-0.06576351290564526, -0.08444692482799607]"
41,2,"[-0.04956975443932689, -0.05933295705407986]"
41,3,"[np.float64(-0.026488010591633374), np.float64(-0.04178463371377487)]"
42,0,"[np.float64(0.3049613608997188), np.float64(0.18304013196634394)]"
42,1,"[0.24104184316362437, 0.2648095197833047]"
42,2,"[0.29289557324352217, 0.2188227931125773]"
42,3,"[np.float64(0.3232821538473977), np.float64(0.1755001063885981)]"
43,0,"[np.float64(0.15421172687385365), np.float64(0.035939721635039217)]"
43,1,"[0.08469755165290349, 0.11090552210926106]"
43,2,"[0.14693518540288203, 0.04454607925504911]"
43,3,"[np.float64(0.1781216145988358), np.float64(0.008777595365873877)]"
44,0,"[np.float64(-0.12351621083633399), np.float64(-0.12355273188274768)]"
44,1,"[-0.13292835794095956, -0.11274180476895437]"
44,2,"[-0.12728921111990885, -0.12190435301843656]"
44,3,"[np.float64(-0.12160856109832427), np.float64(-0.12440639889916581)]"
45,0,"[np.float64(0.3123154455877575), np.float64(0.00852796163587909)]"
45,1,"[0.20025815279870995, 0.007043448751802815]"
45,2,"[0.29222336302753366, 0.0038768351364547766]"
45,3,"[np.float64(0.30551053352758867), np.float64(0.004359910232362433)]"
46,0,"[np.float64(0.04280365610550296), np.float64(0.041765083755296264)]"
46,1,"[-0.07539540890676621, 0.07259167984832776]"
46,2,"[np.float64(0.09019846699602094), np.float64(0.021278797172763892)]"
46,3,"[np.float64(0.07023460307410122), np.float64(0.028162972995983998)]"
47,0,"[np.float64(-0.1361855202466093), np.float64(0.04661695463770245)]"
47,1,"[-0.13941880430339065, 0.0012343919851860036]"
47,2,"[-0.1345385018739059, 0.03986460903608188]"
47,3,"[-0.13312027046053473, 0.03342264306774041]"
48,0,"[np.float64(0.2842665669607333), np.float64(-0.13739013309991138)]"
48,1,"[0.3087529859170217, -0.1468440998915999]"
48,2,"[0.29590347295352815, -0.1388910983522084]"
48,3,"[np.float64(0.2842665669607333), np.float64(-0.13739013309991138)]"
49,0,"[np.float64(0.11345103381969066), np.float64(0.25330727663317826)]"
49,1,"[0.12051905216779858, 0.21613572898507843]"
49,2,"[0.11493612364471512, 0.2203827981034639]"
49,3,"[np.float64(0.11345103381969066), np.float64(0.25330727663317826)]"
50,0,"[np.float64(0.07452179335247322), np.float64(-0.18097519041722698)]"
50,1,"[-0.059534709009105485, -0.14113490864386757]"
50,2,"[0.029970085740380945, -0.12765672653233978]"
50,3,"[np.float64(0.08449889479844205), np.float64(-0.17104795925489918)]"
51,0,"[np.float64(-0.25892134353536894), np.float64(-0.15096141967054855)]"
51,1,"[-0.3052692526776356, -0.12488597215752159]"
51,2,"[np.float64(-0.23206154454892472), np.float64(-0.16508751858940748)]"
51,3,"[np.float64(-0.25892134353536894), np.float64(-0.15096141967054855)]"
52,0,"[np.float64(-0.17846893397111568), np.float64(0.14458369370040097)]"
52,1,"[-0.15637137275595323, 0.2737816271835639]"
52,2,"[-0.15418699410227088, 0.2025405177388182]"
52,3,"[np.float64(-0.15947715269292512), np.float64(0.14215753257300187)]"
53,0,"[np.float64(0.1169016308053482), np.float64(0.06732439154604378)]"
53,1,"[0.13467515804510816, 0.08487131338216841]"
53,2,"[0.1354561521558568, 0.09821059279128412]"
53,3,"[np.float64(0.12087978139234849), np.float64(0.06654547978340108)]"
54,0,"[np.float64(0.23120343566738985), np.float64(0.0916053483891502)]"
54,1,"[0.19908321731892664, 0.11424947872234062]"
54,2,"[0.20765406819856508, 0.1043988917640119]"
54,3,"[np.float64(0.24077369285690925), np.float64(0.08739359210429237)]"
55,0,"[np.float64(0.17362573594572814), np.float64(-0.1764943321844426)]"
55,1,"[0.19743822820606555, -0.11919568915356912]"
55,2,"[0.1811221631163133, -0.1589356881001115]"
55,3,"[0.1946831001340821, -0.12847792200397523]"
56,0,"[np.float64(-0.08591394914238026), np.float64(0.017739601406480034)]"
56,1,"[0.0011522205465038862, -0.02425917745119587]"
56,2,"[-0.03866223864395839, -0.010427431677314709]"
56,3,"[np.float64(-0.08959702906153938), np.float64(0.017547904871500052)]"
57,0,"[np.float64(-0.04566991870922059), np.float64(-0.020015536926490107)]"
57,1,"[-0.06915610006954487, 0.01035792154645455]"
57,2,"[-0.05111513438156701, 0.01218710597183888]"
57,3,"[np.float64(-0.043583560477975423), np.float64(0.00013558264877355786)]"
58,0,"[np.float64(0.19895047663442633), np.float64(-0.3323953622095194)]"
58,1,"[0.14556961359494236, -0.2696668546911941]"
58,2,"[0.1569804388164078, -0.30375663699819794]"
58,3,"[np.float64(0.22011761326709975), np.float64(-0.35949083730019826)]"
59,0,"[np.float64(-0.16263776574129693), np.float64(0.04965879174342005)]"
59,1,"[-0.1139828146823825, 0.13513999136197824]"
59,2,"[-0.16069565814354728, 0.06454027469781506]"
59,3,"[np.float64(-0.16472573083782693), np.float64(0.03678310639693575)]"
60,0,"[np.float64(0.20882258376223692), np.float64(-0.0036397519911740284)]"
60,1,"[0.23893073788667166, -0.10328696310844013]"
60,2,"[0.20946222088666655, -0.03137928809065878]"
60,3,"[np.float64(0.2071554145567448), np.float64(-0.0021566472601929065)]"
61,0,"[np.float64(0.08864311578724517), np.float64(0.0603841403626153)]"
61,1,"[0.16797921583964343, 0.07297358375743236]"
61,2,"[0.11015144622186436, 0.09718991261951399]"
61,3,"[np.float64(0.0957522910369539), np.float64(0.08822720214693039)]"
62,0,"[np.float64(0.08774358578069924), np.float64(0.13400364369391565)]"
62,1,"[0.17197148617664337, 0.20019002095063337]"
62,2,"[0.10464871575935333, 0.13769292953737525]"
62,3,"[0.11221810013450631, 0.14145862800557862]"
63,0,"[np.float64(0.1455259825942209), np.float64(-0.35644407419076385)]"
63,1,"[0.14091910724751788, -0.36817443244492387]"
63,2,"[0.14135082378790698, -0.36983526708594117]"
63,3,"[np.float64(0.14584663470439907), np.float64(-0.3553778075090147)]"
64,0,"[np.float64(0.0959632229439627), np.float64(-0.13774636284964858)]"
64,1,"[0.1460606538660134, -0.09910625725657224]"
64,2,"[0.10384240693930966, -0.12958276424652976]"
64,3,"[np.float64(0.08485566430986786), np.float64(-0.1447816356144434)]"
65,0,"[np.float64(0.026168048396479994), np.float64(0.19479497264561685)]"
65,1,"[0.08919907412150083, 0.2166182344921397]"
65,2,"[0.08191152946623854, 0.213209532628828]"
65,3,"[np.float64(0.010399681214651034), np.float64(0.18707510882519468)]"
66,0,"[np.float64(-0.0847278537626834), np.float64(0.053962008165431855)]"
66,1,"[-0.035012474915978, -0.09666483181763987]"
66,2,"[-0.08000800650650572, 0.015026689194907777]"
66,3,"[np.float64(-0.10080868684919925), np.float64(0.06775913498574046)]"
67,0,"[np.float64(-0.02812199296490325), np.float64(0.01843753666732726)]"
67,1,"[-0.06890418342761076, 0.05324979235059544]"
67,2,"[-0.03249266181947488, 0.025792605988758023]"
67,3,"[np.float64(-0.01762154051039231), np.float64(0.010115027626841171)]"
68,0,"[np.float64(-0.13064721650143313), np.float64(0.021890304677071745)]"
68,1,"[-0.19486414348314474, 0.18607589538894007]"
68,2,"[-0.147459714538523, 0.11044853341165745]"
68,3,"[np.float64(-0.13064721650143313), np.float64(0.021890304677071745)]"
69,0,"[np.float64(-0.10166396417300165), np.float64(-0.2766572872332514)]"
69,1,"[-0.11633570506762494, -0.24933848680346046]"
69,2,"[-0.10500722589797556, -0.28083623454206935]"
69,3,"[np.float64(-0.08898773795621175), np.float64(-0.2981233836408741)]"
70,0,"[np.float64(0.16650839935128328), np.float64(-0.14847976896902298)]"
70,1,"[0.10039470281802931, -0.25134258829883693]"
70,2,"[0.15797208865017212, -0.1593696881404256]"
70,3,"[np.float64(0.19373160859109995), np.float64(-0.10440601110245876)]"
71,0,"[np.float64(-0.2160118486497665), np.float64(0.06791882417305972)]"
71,1,"[-0.41438209196119213, 0.04175456161657849]"
71,2,"[-0.29428260186111627, 0.06938362474910639]"
71,3,"[np.float64(-0.2054637744064757), np.float64(0.07951820001022251)]"
72,0,"[np.float64(-0.12800160756065168), np.float64(-0.21030868365915747)]"
72,1,"[-0.06460701881550351, -0.17623469732858627]"
72,2,"[-0.09701180484232318, -0.19357804058235542]"
72,3,"[np.float64(-0.14047930535649475), np.float64(-0.21727662410703455)]"
73,0,"[np.float64(0.34164567787277844), np.float64(-0.1445316810582174)]"
73,1,"[0.207204003710178, -0.025001053947771593]"
73,2,"[0.23340670637107858, -0.046948839949233045]"
73,3,"[0.2528213470285114, -0.06263822144224887]"
74,0,"[np.float64(0.05037933116066809), np.float64(-0.1213906428463846)]"
74,1,"[-0.0841515790116241, 0.08255683164468848]"
74,2,"[-0.007410323641802881, -0.04983453992861375]"
74,3,"[np.float64(0.037735716727935256), np.float64(-0.10068548982813874)]"
0,0,"[np.float64(0.11181428279085913), np.float64(-0.1067603222132789)]"
0,1,"[-0.08892334424541734, -0.11813132020181434]"
0,2,"[-0.08048890637014398, -0.11555405011557768]"
0,3,"[np.float64(0.0645296646508522), np.float64(-0.104828979640737)]"
1,0,"[np.float64(0.08763591510749166), np.float64(-0.274637698920141)]"
1,1,"[-0.042868455893661735, -0.2861309582898738]"
1,2,"[0.021545915491283724, -0.2837028180358986]"
1,3,"[np.float64(0.08150660703705008), np.float64(-0.271575044458684)]"
2,0,"[np.float64(0.08128708561978257), np.float64(-0.13171345936603812)]"
2,1,"[0.021734231899871864, 0.19725841979757336]"
2,2,"[0.07594621002326665, 0.0301845467462265]"
2,3,"[np.float64(0.08911045601571302), np.float64(-0.0761142244000238)]"
3,0,"[np.float64(0.4033946089558156), np.float64(-0.10801566366661956)]"
