context,p,decision
25,0,"[np.float64(0.011228594554531587), np.float64(-0.10921774865559461)]"
25,1,"[0.028651755866612387, -0.05981426106278307]"
25,2,"[0.009134516180485865, -0.14085169097656586]"
25,3,"[0.016745969493052938, -0.10927761719696114]"
26,0,"[np.float64(-0.16140370324437783), np.float64(0.3071810405967143)]"
26,1,"[0.021565309546295597, 0.11719155101181977]"
26,2,"[-0.01616619726451075, 0.20250936196861]"
26,3,"[np.float64(-0.1097411481488911), np.float64(0.2862233369731955)]"
27,0,"[np.float64(0.32054554488459114), np.float64(0.20626625301707802)]"
27,1,"[-0.032570940657707194, 0.05511580908058937]"
27,2,"[-0.0034822986355823177, 0.07664905322620291]"
27,3,"[np.float64(0.17566353647965333), np.float64(0.14893674884867703)]"
28,0,"[np.float64(-0.21462349806187253), np.float64(0.16235189192136854)]"
28,1,"[0.014288931304685218, -0.053329046301596114]"
28,2,"[-0.08114284283270302, 0.017152011371170006]"
28,3,"[-0.010555867041335439, -0.03890043289386629]"
29,0,"[np.float64(-0.20880429966998812), np.float64(-0.2876172548310247)]"
29,1,"[-0.045173138518877255, -0.021878332503604832]"
29,2,"[-0.1316308369314108, -0.189428926799039]"
29,3,"[np.float64(-0.20097080505204717), np.float64(-0.27785411910786023)]"
30,0,"[np.float64(0.2635881307946373), np.float64(-0.04557439839863914)]"
30,1,"[0.10512537020995331, -0.020255785547410674]"
30,2,"[0.16160496177917968, -0.05318435619676487]"
30,3,"[np.float64(0.25379645587085636), np.float64(-0.052211638585936415)]"
31,0,"[np.float64(-0.1815666322985231), np.float64(-0.2833043031524447)]"
31,1,"[0.03674731627229267, -0.07921880772164784]"
31,2,"[-0.05124250018700478, -0.13858311099821696]"
31,3,"[-0.06170183219765663, -0.14620375178670442]"
32,0,"[np.float64(0.05896581015083248), np.float64(0.14744150547465779)]"
32,1,"[0.0850725875225787, 0.02063890776897833]"
32,2,"[0.1048110922315763, 0.031369641245865]"
32,3,"[0.10634818636608363, 0.01768517762851915]"
33,0,"[np.float64(0.15014044282149056), np.float64(0.07000901609554787)]"
33,1,"[0.14483163617228628, -0.05533639030889439]"
33,2,"[0.14217730037527487, -0.04686298049311928]"
33,3,"[0.14403052725229687, -0.0499654245322957]"
34,0,"[np.float64(0.3990165190182191), np.float64(0.34672069999983557)]"
34,1,"[0.15319859531540567, 0.12655552161664776]"
34,2,"[0.24183824192732825, 0.22483547072473914]"
34,3,"[0.24948297638821496, 0.22962374992331103]"
35,0,"[np.float64(0.19266296982742703), np.float64(-0.06795873815047271)]"
35,1,"[0.012792616330119853, -0.008954690714144259]"
35,2,"[0.03220456123894626, -0.044528439966674875]"
