,Mean_Decisiveness
decs_utilitarian societyp1,0.18438352292172508
decs_utilitarian societyp10,0.1822342825267098
decs_utilitarian societypt,0.17430251617826711
decs_utilitarian societypHCVA,0.1828920553046894
