country,rel,nonrel
AT,204.0,1654.0
BE,834.0,903.0
CH,143.0,1290.0
CZ,309.0,1751.0
DE,440.0,2312.0
EE,192.0,1728.0
ES,256.0,1454.0
FI,496.0,1342.0
FR,216.0,1746.0
GB,292.0,1536.0
HU,512.0,802.0
IE,2250.0,222.0
IL,1274.0,849.0
IS,86.0,696.0
IT,932.0,1286.0
LT,393.0,1316.0
NL,475.0,1108.0
NO,237.0,1246.0
PL,172.0,1263.0
PT,897.0,283.0
RU,1259.0,649.0
SE,187.0,1248.0
SI,923.0,276.0
