p,Up,Dist1,Distl,Rel_div_p,Nonrel_div_p,Rel_div_n,Nonrel_div_n
1.0,42.6717556243182,0.0,0.1449763984807464,0.010276677305407907,0.14497639848650767,-0.010276677305407907,-0.14497639848650767
1.1,29.17799681640039,0.05154355520561844,0.2866239164693708,-0.014889611676789991,0.14186892068702592,0.014889611676789991,-0.14186892068702592
1.2000000000000002,21.275376604290425,0.1737768054344298,0.26683922196930804,-0.06001927270277062,0.10675743762482226,0.06001927270277062,-0.10675743762482226
1.3000000000000003,16.311598767206913,0.2134574828338656,0.24286456882817103,-0.07888102457963184,0.0882535217086038,0.07888102457963184,-0.0882535217086038
1.4000000000000004,13.015445640288643,0.22643019085053176,0.22453332254795325,-0.0892101956356611,0.07745146240069009,0.0892101956356611,-0.07745146240069009
1.5000000000000004,10.722204574498258,0.2302560964714841,0.2102249924161814,-0.09599492235281848,0.06982850677812569,0.09599492235281848,-0.06982850677812569
1.6000000000000005,9.064078750497808,0.23076813914211322,0.19884206849201194,-0.10103242853479281,0.06362993435244632,0.10103242853479281,-0.06362993435244632
1.7000000000000006,7.826110807853284,0.22928960912086904,0.189751503601903,-0.10478682791732591,0.058574053807315785,0.10478682791732591,-0.058574053807315785
1.8000000000000007,6.876567093659603,0.2273012693270372,0.1823931428075056,-0.10781051820551493,0.05401580730366529,0.10781051820551493,-0.05401580730366529
1.9000000000000008,6.131355983714458,0.22462993100444142,0.1763956725765194,-0.11010228774126359,0.05013217173623795,0.11010228774126359,-0.05013217173623795
2.000000000000001,5.534885065240275,0.22223624605617015,0.17145251676773604,-0.11203848982786009,0.04631802621263506,0.11203848982786009,-0.04631802621263506
2.100000000000001,5.0492640804381645,0.21984422030112,0.1673282720474486,-0.11356498785369237,0.04272737349426799,0.11356498785369237,-0.04272737349426799
2.200000000000001,4.647973042408258,0.2174169136870344,0.1638114379002326,-0.11470236550174503,0.03937166333823045,0.11470236550174503,-0.03937166333823045
2.300000000000001,4.312009773896775,0.21495591804662972,0.1607245127709414,-0.1154791011668592,0.0362371603264544,0.1154791011668592,-0.0362371603264544
2.4000000000000012,4.02747297858575,0.21245758913257856,0.15792103617119826,-0.11591859258102209,0.03331670692223594,0.11591859258102209,-0.03331670692223594
2.5000000000000013,3.7840028338416998,0.20991973859856206,0.15528439844048392,-0.11604280601613656,0.03060567083682416,0.11604280601613656,-0.03060567083682416
2.6000000000000014,3.573749486403813,0.20734440387650394,0.15272626292007255,-0.115874162361878,0.028099629978315353,0.115874162361878,-0.028099629978315353
2.7000000000000015,3.3906753039606707,0.20473852638681556,0.15018409943109132,-0.1154363915451984,0.02579320749329738,0.1154363915451984,-0.02579320749329738
2.8000000000000016,3.230073256045177,0.20211339814823231,0.1476176291895565,-0.11475459032631709,0.023679619934356105,0.11475459032631709,-0.023679619934356105
2.9000000000000017,3.088228320975322,0.19948360878048624,0.14500478476387532,-0.11385493299093799,0.021750678551136476,0.11385493299093799,-0.021750678551136476
3.0000000000000018,2.9621754257588213,0.19686576191447594,0.14233749434559187,-0.11276411249837931,0.019997022389755065,0.11276411249837931,-0.019997022389755065
3.100000000000002,2.849523722687269,0.1942772917872658,0.13961786229957068,-0.11150879379416383,0.018408452761870583,0.11150879379416383,-0.018408452761870583
3.200000000000002,2.7483272113628314,0.19173533117529526,0.13685470414551837,-0.11011494391705491,0.016974267569537665,0.11011494391705491,-0.016974267569537665
3.300000000000002,2.6569882364160065,0.18925590238325596,0.1340609132771329,-0.10860739060190303,0.01568357239496317,0.10860739060190303,-0.01568357239496317
3.400000000000002,2.57418463706495,0.18685325336603748,0.13125131106792293,-0.10700936239917419,0.014525521825706426,0.10700936239917419,-0.014525521825706426
3.500000000000002,2.4988141367362067,0.1845394332120174,0.12844111986205267,-0.10534218197976043,0.013489516576005995,0.10534218197976043,-0.013489516576005995
3.6000000000000023,2.4299514531073005,0.18232409717952713,0.12564496629494135,-0.10362511265146371,0.012565335806666057,0.10362511265146371,-0.012565335806666057
3.7000000000000024,2.366814900921972,0.1802144272175501,0.12287619198055799,-0.10187524580769082,0.0117432338820419,0.10187524580769082,-0.0117432338820419
3.8000000000000025,2.308740154298256,0.17821519341819922,0.12014647542806185,-0.10010749160476404,0.01101400499051513,0.10010749160476404,-0.01101400499051513
3.9000000000000026,2.2551594623746225,0.1763289369549157,0.11746570176629006,-0.09833466905509722,0.01036901187072317,0.09833466905509722,-0.01036901187072317
4.000000000000003,2.2055850572245164,0.17455617295195328,0.11484191120573634,-0.09656759069132868,0.009800212499767104,0.09656759069132868,-0.009800212499767104
4.100000000000002,2.15959581248336,0.17289570083309186,0.11228144327536131,-0.09481526501823029,0.009300143687467385,0.09481526501823029,-0.009300143687467385
4.200000000000002,2.1168264429912345,0.17134484771856442,0.10978901752724399,-0.09308501718583397,0.008861931697550155,0.09308501718583397,-0.008861931697550155
4.300000000000002,2.0769587057334893,0.1698997952096954,0.10736796484579264,-0.09138271914681687,0.008479255484481495,0.09138271914681687,-0.008479255484481495
4.400000000000001,2.0397141881851644,0.16855582304329825,0.10502037137906137,-0.0897129362848385,0.008146339631290649,0.0897129362848385,-0.008146339631290649
4.500000000000001,2.004848364157624,0.16730761087636525,0.10274733107922014,-0.08807916098394242,0.007857896781623394,0.08807916098394242,-0.007857896781623394
4.6000000000000005,1.9721456680670082,0.16614938764791606,0.10054902035411382,-0.08648389169550387,0.007609143078706713,0.08648389169550387,-0.007609143078706713
4.7,1.9414153923408568,0.16507518882803082,0.09842494503580405,-0.08492885780638647,0.007395726656648855,0.08492885780638647,-0.007395726656648855
