0,0,"[np.float64(0.028653328466796774), np.float64(0.0678538968593673)]"
0,1,"[0.1397314334179496, 0.106391996672412]"
0,2,"[0.1162631478483856, 0.09858254200829702]"
0,3,"[np.float64(0.030799296605195273), np.float64(0.07236755028153026)]"
1,0,"[np.float64(-0.10184620461700958), np.float64(-0.15140775931270486)]"
1,1,"[-0.12037822397536561, -0.0028634733339734132]"
1,2,"[-0.10126966703642278, -0.0793932941810803]"
1,3,"[np.float64(-0.10216818298763183), np.float64(-0.14233739989719674)]"
2,0,"[np.float64(0.04122658729936701), np.float64(0.03401963154148438)]"
2,1,"[-0.01522080659150074, 0.018845091107450113]"
2,2,"[0.03172482437110397, 0.032137782052330734]"
2,3,"[np.float64(0.03707261420031001), np.float64(0.032926198831015455)]"
3,0,"[np.float64(-0.11917723086369428), np.float64(-0.33215374519895624)]"
3,1,"[-0.11189080026789726, -0.24009235928101078]"
3,2,"[-0.1189453557146138, -0.26722300185829245]"
3,3,"[np.float64(-0.11871894037940456), np.float64(-0.31123570829375136)]"
4,0,"[np.float64(0.13924439301619407), np.float64(-0.10181588257736744)]"
4,1,"[-0.19452938950632653, 0.010048124288348087]"
4,2,"[-0.04199857123135786, -0.026472662152550855]"
4,3,"[np.float64(0.03507963908354006), np.float64(-0.05848242735281055)]"
5,0,"[np.float64(0.07857836010166369), np.float64(0.027785925585500523)]"
5,1,"[0.11157281640336475, 0.09824066600187958]"
5,2,"[0.10222124956204116, 0.07417257600214586]"
5,3,"[np.float64(0.07964936471928026), np.float64(0.034603503455485504)]"
6,0,"[np.float64(-0.15620144655690282), np.float64(0.02366212854009494)]"
6,1,"[0.018474035503680018, 0.11413330556807492]"
6,2,"[-0.021959976091847407, 0.08382767561203941]"
6,3,"[-0.06738106062979371, 0.05987568045295992]"
7,0,"[np.float64(0.1539621418579034), np.float64(0.16551460331884277)]"
7,1,"[0.21763282372983395, 0.11393757264128122]"
7,2,"[0.19063974011816429, 0.11421867299256204]"
7,3,"[np.float64(0.1696404043770523), np.float64(0.1561957204635684)]"
8,0,"[np.float64(0.18087220862922276), np.float64(0.09740470670766847)]"
8,1,"[-0.0854215062727845, 0.20585244045792372]"
8,2,"[-0.01033853827006527, 0.17734647848067875]"
8,3,"[np.float64(0.10386766644138752), np.float64(0.12933663939146206)]"
9,0,"[np.float64(0.37312748527733797), np.float64(0.28473959659809006)]"
9,1,"[0.2935732019066334, 0.23724680222334987]"
9,2,"[0.3027957115682633, 0.2436624579995909]"
9,3,"[np.float64(0.35208411084873603), np.float64(0.27849685226202947)]"
10,0,"[np.float64(0.013641972529373284), np.float64(-0.14617645378790997)]"
10,1,"[-0.12413813786059943, -0.1484038218316968]"
10,2,"[-0.06530898125699844, -0.1526937723135105]"
10,3,"[np.float64(-0.01264275826795427), np.float64(-0.14888005324583461)]"
11,0,"[np.float64(-0.19072500293975822), np.float64(0.05058592257106961)]"
11,1,"[0.02683935097096311, 0.17821981879157484]"
11,2,"[-0.08401242729282558, 0.10131135551821083]"
11,3,"[np.float64(-0.1473263028061788), np.float64(0.08128137802278157)]"
12,0,"[np.float64(-0.04696376676101324), np.float64(-0.1231889570222637)]"
12,1,"[-0.2106086343109024, -0.09348580223391444]"
12,2,"[-0.14251494032619624, -0.10257701454259101]"
12,3,"[np.float64(-0.08023874035850995), np.float64(-0.11653382742712104)]"
13,0,"[np.float64(0.18212907537925777), np.float64(-0.04270938119314175)]"
13,1,"[0.2721810419320978, -0.014689292427508258]"
13,2,"[0.20933771152849306, -0.032080798072142605]"
13,3,"[np.float64(0.19732701878086178), np.float64(-0.03687152659482875)]"
14,0,"[np.float64(0.06815320196635766), np.float64(0.3305843496916784)]"
14,1,"[0.177793624388353, 0.15291468417365403]"
14,2,"[0.11460384020353621, 0.274025388257697]"
14,3,"[np.float64(0.10072600402581959), np.float64(0.29255286128135916)]"
15,0,"[np.float64(-0.20728050515882204), np.float64(0.035304782221145505)]"
15,1,"[0.06054722206713273, -0.02961502816102053]"
15,2,"[0.0023661581273621834, -0.03401173245525541]"
15,3,"[np.float64(-0.13142391158713207), np.float64(0.010399015138362697)]"
16,0,"[np.float64(-0.3413099615316403), np.float64(0.28646494941197853)]"
16,1,"[-0.21392830238218297, 0.12666167018803298]"
16,2,"[-0.27829530281524245, 0.2079426861469773]"
16,3,"[np.float64(-0.3318831796735197), np.float64(0.2760816445359608)]"
17,0,"[np.float64(0.1996528309046948), np.float64(-0.05141802998382262)]"
17,1,"[0.1475678732737613, -0.10505262411258658]"
17,2,"[0.17270935245840235, -0.09842590841182433]"
17,3,"[np.float64(0.18742567655979064), np.float64(-0.0643893714393708)]"
18,0,"[np.float64(-0.420757966732625), np.float64(0.046462605986399556)]"
18,1,"[-0.4622307841966725, -0.026772847673721848]"
18,2,"[-0.44025121243075127, 0.017976312169946024]"
18,3,"[np.float64(-0.4382845369359335), np.float64(0.021872008713897585)]"
19,0,"[np.float64(-0.09483914723312248), np.float64(0.12300321845032905)]"
19,1,"[-0.002549277808642697, 0.3555229895018628]"
19,2,"[-0.038730756778105266, 0.2523323247482758]"
19,3,"[np.float64(-0.06679054576935539), np.float64(0.19182119044655105)]"
20,0,"[np.float64(-0.0406919355213404), np.float64(-0.14888962938269462)]"
20,1,"[-0.11465547944490566, 0.07682028899235525]"
20,2,"[-0.07402073167426021, 0.030917764997015065]"
20,3,"[np.float64(-0.048704372482625435), np.float64(-0.12344840933155324)]"
21,0,"[np.float64(0.09353448353218202), np.float64(-0.05392217794554947)]"
21,1,"[0.20571162008643373, -0.08120283577660169]"
21,2,"[0.14971934029245682, -0.06891002564702081]"
21,3,"[np.float64(0.11215310454940486), np.float64(-0.059905372070867755)]"
22,0,"[np.float64(-0.266280566242839), np.float64(0.09332283945550568)]"
22,1,"[-0.15598738613237698, 0.03170887434469567]"
22,2,"[-0.17612273269445738, 0.046521944433570134]"
22,3,"[np.float64(-0.24046666732609415), np.float64(0.07736549170496194)]"
23,0,"[np.float64(0.02228200895713478), np.float64(-0.13243726083802168)]"
23,1,"[0.07016320477360452, -0.13983638961505768]"
23,2,"[0.045098089081692744, -0.13977553824099692]"
23,3,"[np.float64(0.02830777661791878), np.float64(-0.13105084303464556)]"
24,0,"[np.float64(-0.29451070237655863), np.float64(-0.05685901116779213)]"
24,1,"[-0.29330373078216215, -0.005514796342624681]"
24,2,"[-0.29775967129554093, -0.03395432718523434]"
24,3,"[np.float64(-0.2965649487545321), np.float64(-0.04025756816379648)]"
25,0,"[np.float64(0.1183973254223494), np.float64(-0.280018371568925)]"
25,1,"[-0.03217497290323179, -0.19626550748391622]"
25,2,"[-0.03217497290323179, -0.19626550748391622]"
25,3,"[np.float64(0.097087128217055), np.float64(-0.27444934714972474)]"
26,0,"[np.float64(-0.05392829078206457), np.float64(-0.10728224720986075)]"
26,1,"[-0.1901582217855463, -0.17477444629018582]"
26,2,"[-0.15103481457990092, -0.16265730093882647]"
26,3,"[np.float64(-0.11033364312997183), np.float64(-0.13905375452547963)]"
27,0,"[np.float64(0.13257692457672204), np.float64(-0.128406313634987)]"
27,1,"[0.017274835878208952, -0.21690593474872433]"
27,2,"[0.017274835878208952, -0.21690593474872433]"
27,3,"[np.float64(0.13198530669617192), np.float64(-0.13211935362856475)]"
28,0,"[np.float64(0.08060437310368188), np.float64(-0.24505088738834074)]"
28,1,"[0.007513394898141627, -0.2127275477398506]"
28,2,"[0.018262183861636166, -0.2606050555318947]"
28,3,"[0.04405457542994771, -0.2833903815725237]"
29,0,"[np.float64(-0.22776368698648217), np.float64(0.17842328484438336)]"
29,1,"[-0.03666125931210267, 0.0055514184014342355]"
29,2,"[np.float64(-0.13586896755936517), np.float64(0.11875076434486216)]"
29,3,"[np.float64(-0.15231776772422653), np.float64(0.13157009540284806)]"
30,0,"[np.float64(-0.1207512257742053), np.float64(-0.09119722601367981)]"
30,1,"[-0.19526108112976903, -0.011252875008665383]"
30,2,"[-0.17585375515853194, -0.034636361150238965]"
30,3,"[np.float64(-0.13317960136161192), np.float64(-0.07884669676327342)]"
31,0,"[np.float64(0.1544916807027147), np.float64(0.14794862604487669)]"
31,1,"[0.09867547153812437, -0.0833652458016427]"
31,2,"[0.11584071740899554, 0.04466774934988464]"
31,3,"[np.float64(0.1376703841884183), np.float64(0.1250763886290225)]"
32,0,"[np.float64(0.21516260749529614), np.float64(0.13025057511194116)]"
32,1,"[0.2538254206821341, -0.040781041127969]"
32,2,"[0.2311002349793933, 0.024636468734687146]"
32,3,"[0.22165701552396683, 0.07982026585124062]"
33,0,"[np.float64(-0.04126704761359), np.float64(0.0864287299296083)]"
33,1,"[-0.1679749182488763, 0.1817927784305094]"
33,2,"[-0.1059927668155511, 0.14255186363729544]"
33,3,"[np.float64(-0.08198323600320802), np.float64(0.12009588792669122)]"
34,0,"[np.float64(-0.20764941302190734), np.float64(0.07662698545810959)]"
34,1,"[-0.18283008758753194, 0.1465835563246291]"
34,2,"[-0.15913801044897222, 0.1318143006846875]"
34,3,"[np.float64(-0.17155639679685758), np.float64(0.08141243056031208)]"
35,0,"[np.float64(-0.21850872311622072), np.float64(-0.03703782789170785)]"
35,1,"[-0.06634219337400495, 0.008763498256902556]"
35,2,"[-0.11315197791067351, -0.02546541092676033]"
35,3,"[-0.07621493974023272, 0.005331802717007467]"
36,0,"[np.float64(-0.12289178056716919), np.float64(0.03601837202046702)]"
36,1,"[-0.08879821554905865, -0.015625365140192388]"
36,2,"[-0.1109598483132779, 0.039989741924648645]"
36,3,"[np.float64(-0.10073086363635222), np.float64(0.019833810067262692)]"
37,0,"[np.float64(-0.10142039396614384), np.float64(-0.0012546563648730864)]"
37,1,"[0.022202164822091468, -0.04626442289603134]"
37,2,"[-0.0020415692944179276, -0.050077342317313714]"
37,3,"[-0.028910118372598704, -0.047011783698683654]"
38,0,"[np.float64(0.11406032439227073), np.float64(0.07782442510168887)]"
38,1,"[0.12818813890396474, 0.01601895288226152]"
38,2,"[0.131213168755156, 0.019404541008717566]"
38,3,"[np.float64(0.1139831623269292), np.float64(0.07669300118997696)]"
0,0,"[np.float64(-0.24173159473404682), np.float64(-0.0032057658590392557)]"
0,1,"[-0.06623629890457039, 0.13853469333760723]"
0,2,"[-0.16433172668449159, 0.05342307988761677]"
0,3,"[np.float64(-0.20376339602311294), np.float64(0.026346318399104784)]"
1,0,"[np.float64(-0.21035580850265262), np.float64(-0.1479860415669105)]"
1,1,"[-0.06734300549014745, -0.03570363972982287]"
1,2,"[-0.06734300549014745, -0.03570363972982287]"
1,3,"[np.float64(-0.17259888203662793), np.float64(-0.11014865739388488)]"
2,0,"[np.float64(0.10669171251095824), np.float64(-0.14242535395376363)]"
2,1,"[0.09378833088986474, -0.09403957675513296]"
2,2,"[0.1184240678017267, -0.10986374198109115]"
2,3,"[np.float64(0.11271767613106912), np.float64(-0.13339929012993287)]"
3,0,"[np.float64(0.1297109962176312), np.float64(0.27833425401882506)]"
3,1,"[0.09475041558881289, 0.24852469212896489]"
3,2,"[0.11303422978414564, 0.26183596513634255]"
3,3,"[0.11156696948400786, 0.25980595684129165]"
4,0,"[np.float64(-0.09961377666075777), np.float64(0.22983944767004177)]"
4,1,"[-0.06891144046252295, 0.2801801180532473]"
4,2,"[-0.06898148287645203, 0.2785761442894812]"
4,3,"[np.float64(-0.09118695470765864), np.float64(0.23722810107407608)]"
5,0,"[np.float64(0.11777296445637117), np.float64(-0.40969068944829456)]"
5,1,"[0.2500971392930653, -0.1209196730677486]"
5,2,"[0.22659710161053176, -0.1890984679060187]"
5,3,"[np.float64(0.15839796975634046), np.float64(-0.3391998274125504)]"
6,0,"[np.float64(-0.17069033387356433), np.float64(0.10110339041539912)]"
6,1,"[-0.2172241542096272, 0.058680518349486344]"
6,2,"[-0.20512300796655275, 0.07062823494885997]"
6,3,"[np.float64(-0.18685772000618164), np.float64(0.0899177631242665)]"
7,0,"[np.float64(0.2860425338198797), np.float64(-0.10827732637405235)]"
7,1,"[0.25968313430033, -0.14067748302444785]"
7,2,"[0.256550059217726, -0.11988651973943051]"
7,3,"[0.2537495457484489, -0.12499888020421279]"
8,0,"[np.float64(0.19893237117192505), np.float64(0.25191671806875315)]"
8,1,"[0.03525784637010977, 0.08519552577044211]"
8,2,"[0.0351390229991186, 0.08617263201742227]"
8,3,"[np.float64(0.15046827530686602), np.float64(0.2067339215271476)]"
9,0,"[np.float64(-0.4782807833741052), np.float64(0.004715517199995235)]"
9,1,"[-0.1720315041323997, 0.08156929742828957]"
9,2,"[-0.33136345922864596, 0.054752820137292754]"
9,3,"[np.float64(-0.41838863987839714), np.float64(0.02335883173695911)]"
10,0,"[np.float64(0.19051325111695908), np.float64(-0.023343527566429323)]"
10,1,"[0.24924668295488478, 0.037240053538557596]"
10,2,"[0.21864772555149234, 0.012969343745888151]"
10,3,"[np.float64(0.21214581480933822), np.float64(-0.005278799347844587)]"
