context,p_value,agent,satisfaction
9,3,23.0,0.3054776203729608
9,3,14.0,0.14232796357326358
9,3,66.0,0.21157779179959346
9,3,96.0,0.009276557316112877
10,0,71.0,0.211293217345622
10,0,67.0,0.20580410593875337
10,0,69.0,0.015151212550425848
10,0,73.0,0.07988345016418853
10,1,71.0,0.34907332773559474
10,1,67.0,0.06802399554878066
10,1,69.0,0.15293132294039857
10,1,73.0,0.21766356055416125
10,2,71.0,0.29024417113199374
10,2,67.0,0.12685315215238166
10,2,69.0,0.09410216633679758
10,2,73.0,0.15883440395056025
10,3,71.0,0.23757794814294955
10,3,67.0,0.17951937514142582
10,3,69.0,0.0414359433477534
10,3,73.0,0.10616818096151609
11,0,60.0,0.10817442172324031
11,0,77.0,0.6816945860017394
11,0,34.0,0.3604442265517585
11,0,84.0,0.16755144011730355
11,1,60.0,0.10938993218748103
11,1,77.0,0.46413023209101806
11,1,34.0,0.1428798726410372
11,1,84.0,0.05001291379341778
11,2,60.0,0.0014618460763076713
11,2,77.0,0.5749820103548068
11,2,34.0,0.25373165090482586
11,2,84.0,0.060838864470370915
11,3,60.0,0.0647757215896609
11,3,77.0,0.63829588586816
11,3,34.0,0.31704552641817907
11,3,84.0,0.12415273998372414
12,0,2.0,0.5203824349517304
12,0,33.0,0.029490161755793238
12,0,41.0,0.32960658804282283
12,0,0.0,0.2557061293218585
12,1,2.0,0.35673756740184126
12,1,33.0,0.1931350293056824
12,1,41.0,0.16596172049293365
12,1,0.0,0.41935099687174765
12,2,2.0,0.42483126138654737
12,2,33.0,0.12504133532097625
12,2,41.0,0.2340554144776398
12,2,0.0,0.3512573028870415
12,3,2.0,0.48710746135423366
12,3,33.0,0.06276513535328994
12,3,41.0,0.2963316144453261
12,3,0.0,0.2889811029193552
13,0,79.0,0.29380373796018944
13,0,99.0,0.06364884045069401
13,0,81.0,0.3537093729972094
13,0,26.0,0.12969862611279176
13,1,79.0,0.38385570451302947
13,1,99.0,0.15370080700353406
13,1,81.0,0.4437613395500495
13,1,26.0,0.039646659559951725
13,2,79.0,0.32101237410942474
13,2,99.0,0.09085747659992931
13,2,81.0,0.3809180091464447
13,2,26.0,0.10248998996355646
13,3,79.0,0.30900168136179346
13,3,99.0,0.07884678385229803
13,3,81.0,0.36890731639881347
13,3,26.0,0.11450068271118774
14,0,11.0,0.40977450706006907
14,0,29.0,0.5052442843784325
14,0,31.0,0.6084628056113268
14,0,55.0,0.015761703695509395
14,1,11.0,0.30013408463807373
14,1,29.0,0.39560386195643715
14,1,31.0,0.7181032280333222
14,1,55.0,0.12540212611750473
14,2,11.0,0.36332386882289053
14,2,29.0,0.45879364614125395
14,2,31.0,0.6549134438485054
14,2,55.0,0.06221234193268795
14,3,11.0,0.3772017050006071
14,3,29.0,0.47267148231897055
14,3,31.0,0.6410356076707887
14,3,55.0,0.04833450575497133
15,0,52.0,0.0725797557517597
15,0,90.0,0.44868960714999695
15,0,83.0,0.007902066367953042
15,0,91.0,0.3109389708759626
15,1,52.0,0.3404074829777145
15,1,90.0,0.1808618799240422
15,1,83.0,0.25992566085800173
15,1,91.0,0.04311124365000786
15,2,52.0,0.28222641903794393
15,2,90.0,0.23904294386381275
15,2,83.0,0.20174459691823118
15,2,91.0,0.1012923075897784
15,3,52.0,0.14843634932344968
15,3,90.0,0.372833013578307
15,3,83.0,0.06795452720373693
15,3,91.0,0.23508237730427267
16,0,86.0,0.7357165118764043
16,0,48.0,0.46538241475180825
16,0,40.0,0.21435543555198827
16,0,44.0,0.5214636373519111
16,1,86.0,0.608334852726947
16,1,48.0,0.33800075560235093
16,1,40.0,0.08697377640253096
16,1,44.0,0.39408197820245383
16,2,86.0,0.6727018531600064
16,2,48.0,0.4023677560354104
16,2,40.0,0.15134077683559044
16,2,44.0,0.45844897863551337
16,3,86.0,0.7262897300182838
16,3,48.0,0.4559556328936877
16,3,40.0,0.2049286536938677
16,3,44.0,0.5120368554937906
17,0,5.0,0.2514812513340844
17,0,80.0,0.3983421977671585
17,0,89.0,0.09351147041155666
17,0,22.0,0.16914931013258738
17,1,5.0,0.1993962937031509
17,1,80.0,0.346257240136225
17,1,89.0,0.041426512780623176
17,1,22.0,0.11706435250165391
17,2,5.0,0.22453777288779195
17,2,80.0,0.37139871932086604
17,2,89.0,0.06656799196526422
17,2,22.0,0.14220583168629497
17,3,5.0,0.23925409698918024
17,3,80.0,0.38611504342225433
17,3,89.0,0.08128431606665251
17,3,22.0,0.15692215578768326
18,0,53.0,0.05933333482519049
18,0,68.0,0.4525836755024948
18,0,47.0,0.634198695927009
18,0,35.0,0.8999481651568654
18,1,53.0,0.01786051736114297
18,1,68.0,0.4940564929665423
18,1,47.0,0.6756715133910565
18,1,35.0,0.9414209826209129
18,2,53.0,0.039840089127064215
18,2,68.0,0.47207692120062106
18,2,47.0,0.6536919416251352
18,2,35.0,0.9194414108549916
18,3,53.0,0.04180676462188199
18,3,68.0,0.4701102457058033
18,3,47.0,0.6517252661303174
18,3,35.0,0.9174747353601739
19,0,57.0,0.23909521601344044
19,0,9.0,0.40034200284333454
19,0,27.0,0.2004085317608318
19,0,61.0,0.13928404249002213
19,1,57.0,0.14680534658896066
19,1,9.0,0.30805213341885473
19,1,27.0,0.108118662336352
19,1,61.0,0.046994173065542336
19,2,57.0,0.18298682555842322
19,2,9.0,0.34423361238831734
19,2,27.0,0.1443001413058146
19,2,61.0,0.0831756520350049
19,3,57.0,0.21104661454967336
19,3,9.0,0.37229340137956746
19,3,27.0,0.1723599302970647
19,3,61.0,0.11123544102625503
20,0,46.0,0.27746646249289675
20,0,78.0,0.008607656324228358
20,0,56.0,0.0006897489632583312
20,0,6.0,0.543235068658186
20,1,46.0,0.20350291856933145
20,1,78.0,0.0653558875993369
20,1,56.0,0.07327379496030692
20,1,6.0,0.6171986125817512
20,2,46.0,0.2441376663399769
20,2,78.0,0.024721139828691452
20,2,56.0,0.03263904718966148
20,2,6.0,0.5765638648111058
20,3,46.0,0.2694540255316117
20,3,78.0,0.0005952193629433222
20,3,56.0,0.007322687998026704
20,3,6.0,0.551247505619471
21,0,54.0,0.05763752677871703
21,0,64.0,0.21476140007437322
21,0,16.0,0.48349636476505375
21,0,38.0,0.12635830935308445
21,1,54.0,0.16981466333296874
21,1,64.0,0.10258426352012151
21,1,16.0,0.5956735013193055
21,1,38.0,0.23853544590733616
21,2,54.0,0.11382238353899182
21,2,64.0,0.15857654331409843
21,2,16.0,0.5396812215253286
21,2,38.0,0.18254316611335925
21,3,54.0,0.07625614779593987
21,3,64.0,0.19614277905715038
21,3,16.0,0.5021149857822766
21,3,38.0,0.1449769303703073
22,0,1.0,0.2556636809906804
22,0,94.0,0.39055270347689264
22,0,4.0,0.3318520247188864
22,0,51.0,0.49860455366259965
22,1,1.0,0.14537050088021833
22,1,94.0,0.2802595233664306
22,1,4.0,0.22155884460842434
22,1,51.0,0.38831137355213763
22,2,1.0,0.16550584744229874
22,2,94.0,0.30039486992851105
22,2,4.0,0.24169419117050478
22,2,51.0,0.408446720114218
22,3,1.0,0.2298497820739355
22,3,94.0,0.3647388045601478
22,3,4.0,0.3060381258021415
22,3,51.0,0.4727906547458548
23,0,18.0,0.0687126895059649
23,0,74.0,0.13597899512906
23,0,8.0,0.3260379232411214
23,0,50.0,0.2315503682981576
23,1,18.0,0.11659388532243464
23,1,74.0,0.08809779931259026
23,1,8.0,0.3739191190575911
23,1,50.0,0.27943156411462733
23,2,18.0,0.09152876963052287
23,2,74.0,0.11316291500450204
23,2,8.0,0.3488540033656794
23,2,50.0,0.25436644842271555
23,3,18.0,0.0747384571667489
23,3,74.0,0.129953227468276
23,3,8.0,0.3320636909019054
23,3,50.0,0.2375761359589416
24,0,30.0,0.21199170977115356
24,0,49.0,0.3310202481947847
24,0,98.0,0.4661613248824764
24,0,39.0,0.4300659607062456
24,1,30.0,0.21078473817675708
24,1,49.0,0.3298132766003882
24,1,98.0,0.4649543532880799
24,1,39.0,0.42885898911184905
24,2,30.0,0.21524067869013586
24,2,49.0,0.334269217113767
24,2,98.0,0.4694102938014587
24,2,39.0,0.4333149296252279
