points
3.1
1.6
1.7
1.7
1.6
3.4
1.9
1.6
1.8
3.6
1.7
3.3
1.8
2.2
3.3
1.1
1.8
1.2
1.7
1.7
3.5
2.7
1.6
1.8
1.7
2.4
2.2
3.4
2.1
1.8
1.7
2.1
1.1
2.8
2.2
2.2
1.7
2.0
1.7
1.9
2.1
2.7
1.7
1.7
1.8
2.5
1.3
2.0
3.1
1.6
1.1
2.9
1.8
1.3
3.5
1.7
1.7
1.7
1.9
2.0
1.8
1.8
1.9
3.5
1.7
1.8
1.9
1.7
2.6
3.3
1.1
1.9
1.6
1.1
1.6
3.5
2.0
1.7
1.6
2.2
1.7
1.7
1.9
1.8
2.0
1.6
2.0
1.7
1.7
1.7
2.1
3.9
4.3
1.7
3.4
1.7
1.8
1.8
3.4
1.7
1.6
1.7
4.0
1.9
1.8
1.6
3.4
1.7
2.2
1.7
1.7
1.7
2.7
1.7
1.5
2.2
1.6
1.7
1.6
3.3
1.8
3.1
3.4
2.3
3.3
1.6
1.6
1.8
1.7
1.7
1.7
1.7
3.2
1.5
2.8
1.6
1.7
3.2
1.1
1.6
1.7
1.9
2.3
1.7
1.6
3.6
1.6
3.4
2.3
1.6
