,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,71.0,0.3465745988724941,0.3465745988724941
1,1,3,71.0,0.5548596170492275,0.9014342159217216
2,2,3,71.0,0.1269461152752345,1.0283803311969562
3,3,3,71.0,0.374831101438663,1.403211432635619
4,4,3,71.0,0.3061637204553979,1.709375153091017
5,5,3,71.0,0.4886606688491159,2.198035821940133
6,6,3,71.0,0.4755144653220263,2.673550287262159
7,7,3,71.0,0.109594306131711,2.78314459339387
8,8,3,71.0,0.5392931577122083,3.3224377511060785
9,9,3,71.0,0.4006784854923999,3.7231162365984787
10,10,3,71.0,0.1848468584434584,3.907963095041937
11,11,3,71.0,0.2582592486252837,4.16622234366722
12,12,3,71.0,0.275328792226039,4.44155113589326
13,13,3,71.0,0.6142532512823866,5.055804387175646
14,14,3,71.0,0.3036750940289548,5.359479481204601
15,15,3,71.0,0.6009554232499306,5.960434904454532
16,16,3,71.0,0.0699409824906305,6.030375886945162
17,17,3,71.0,0.6327363787753405,6.663112265720502
18,18,3,71.0,0.3880650611244781,7.05117732684498
19,19,3,71.0,0.3310878040338295,7.38226513087881
20,20,3,71.0,0.416411249274816,7.798676380153626
21,21,3,71.0,0.3448427555504256,8.143519135704052
22,22,3,71.0,0.140770229718448,8.2842893654225
23,23,3,71.0,0.0901551361186367,8.374444501541136
24,24,3,71.0,0.7197836285942414,9.094228130135377
25,25,3,71.0,0.2416127180025614,9.33584084813794
26,26,3,71.0,0.2502190833927589,9.586059931530698
27,27,3,71.0,0.2373709215818966,9.823430853112594
28,28,3,71.0,0.3489939211716052,10.1724247742842
29,29,3,71.0,0.3580794099674227,10.530504184251622
30,30,3,71.0,0.3238603152007565,10.854364499452378
31,31,3,71.0,0.2067583780338329,11.061122877486213
32,32,3,71.0,0.0721735653007547,11.133296442786966
33,33,3,71.0,0.1113030868294867,11.244599529616453
34,34,3,71.0,0.1752754115691806,11.419874941185634
35,35,3,71.0,0.6803652398666128,12.100240181052246
36,36,3,71.0,0.2711977373759676,12.371437918428214
37,37,3,71.0,0.2869576162194324,12.658395534647648
38,38,3,71.0,0.6800707249216582,13.338466259569305
39,39,3,71.0,0.2702865180711827,13.608752777640488
40,40,3,71.0,0.233869211844004,13.842621989484492
41,41,3,71.0,0.9041925733576588,14.74681456284215
42,42,3,71.0,0.412330625362525,15.159145188204675
43,43,3,71.0,0.2016806458516231,15.360825834056298
44,44,3,71.0,0.7421722751049469,16.102998109161245
45,45,3,71.0,0.5711481813867094,16.674146290547956
46,46,3,71.0,0.2901543649956344,16.96430065554359
47,47,3,71.0,0.0374467950352733,17.00174745057886
48,48,3,71.0,0.4533526265675874,17.45510007714645
49,49,3,71.0,0.1813121234775252,17.636412200623976
50,50,3,71.0,0.5769934747602551,18.21340567538423
51,51,3,71.0,0.4779835590279231,18.691389234412153
52,52,3,71.0,0.318053628334535,19.00944286274669
53,53,3,71.0,0.1529924443049745,19.162435307051663
54,54,3,71.0,0.3916360624888469,19.55407136954051
55,55,3,71.0,0.5873028456985199,20.14137421523903
56,56,3,71.0,0.4914787643148793,20.63285297955391
57,57,3,71.0,0.4121311709908792,21.04498415054479
58,58,3,71.0,0.8041436781232197,21.849127828668006
59,59,3,71.0,0.6239400646103548,22.473067893278362
60,60,3,71.0,0.1651885082781645,22.63825640155653
61,61,3,71.0,0.3325744936115685,22.970830895168096
62,62,3,71.0,0.3063040887695364,23.277134983937632
63,63,3,71.0,0.4649728875436956,23.742107871481327
64,64,3,71.0,0.5093131784456406,24.251421049926968
65,65,3,71.0,0.5317081555187213,24.78312920544569
66,66,3,71.0,0.27641782376408,25.05954702920977
67,67,3,71.0,0.2508871763031324,25.3104342055129
68,68,3,71.0,0.6926571183701266,26.00309132388303
69,69,3,71.0,0.2395118629596463,26.242603186842675
70,70,3,71.0,0.4809734222512435,26.723576609093918
71,71,3,71.0,0.2339308730090755,26.957507482102994
72,72,3,71.0,0.315815127666748,27.273322609769743
73,73,3,71.0,0.3522592549006101,27.62558186467035
74,74,3,71.0,0.1548784437791019,27.780460308449452
75,75,3,71.0,0.2799142805821649,28.060374589031618
76,76,3,71.0,0.4181743955565837,28.4785489845882
77,77,3,71.0,0.2365745873265275,28.71512357191473
78,78,3,71.0,0.3053068784431125,29.020430450357843
79,79,3,71.0,0.1191682529260739,29.139598703283916
80,80,3,71.0,0.1681013678737101,29.307700071157626
81,81,3,71.0,0.4007785941464435,29.70847866530407
82,82,3,71.0,0.3764584889679221,30.08493715427199
83,83,3,71.0,0.0830718254625958,30.168008979734587
84,84,3,71.0,0.5967781590743726,30.76478713880896
85,85,3,71.0,0.3899906584243969,31.154777797233358
86,86,3,71.0,0.4475738231173901,31.60235162035075
87,87,3,71.0,0.3133167911441228,31.91566841149487
88,88,3,71.0,0.7827691401132602,32.69843755160813
89,89,3,71.0,0.2037257292880248,32.902163280896154
90,90,3,71.0,0.4397391709694087,33.341902451865565
91,91,3,71.0,0.6047097408046879,33.94661219267025
92,92,3,71.0,0.598179747727868,34.54479194039812
93,93,3,71.0,0.127896299514102,34.67268823991222
94,94,3,71.0,0.4767005463681412,35.14938878628036
95,95,3,71.0,0.0763704669629657,35.22575925324333
96,96,3,71.0,0.2098900324994599,35.43564928574279
97,97,3,71.0,0.6918114654226541,36.127460751165444
98,98,3,71.0,0.462658539824453,36.5901192909899
99,99,3,71.0,0.022029535766511,36.6121488267564
100,100,3,71.0,0.2675152714174994,36.879664098173905
101,101,3,71.0,0.2843828327263632,37.16404693090027
102,102,3,71.0,0.5570684231920713,37.72111535409234
103,103,3,71.0,0.2819227855025678,38.003038139594906
104,104,3,71.0,0.2308433879234118,38.23388152751832
105,105,3,71.0,0.3619254550178916,38.59580698253621
106,106,3,71.0,0.2923903829528472,38.888197365489056
107,107,3,71.0,0.3036103632444725,39.19180772873353
108,108,3,71.0,0.3628795728162572,39.55468730154979
109,109,3,71.0,0.3215789997507212,39.87626630130051
110,110,3,71.0,0.069964969848268,39.946231271148775
111,111,3,71.0,0.4170528655740282,40.363284136722804
112,112,3,71.0,0.4475841358430158,40.81086827256582
113,113,3,71.0,0.6008448775879589,41.41171315015378
114,114,3,71.0,0.5983622601192511,42.01007541027303
115,115,3,71.0,0.0431063436019484,42.05318175387498
116,116,3,71.0,0.396181407104115,42.4493631609791
117,117,3,71.0,0.0134654387869286,42.46282859976603
118,118,3,71.0,0.3777751378974269,42.84060373766345
119,119,3,71.0,0.2295344455099516,43.070138183173405
120,120,3,71.0,0.0732963685202797,43.14343455169368
121,121,3,71.0,0.1657286617022026,43.309163213395884
122,122,3,71.0,0.6274935035531299,43.93665671694902
123,123,3,71.0,0.2664655170279091,44.20312223397693
124,124,3,71.0,0.2904399592748464,44.49356219325177
125,125,3,71.0,0.7490811935438577,45.24264338679563
126,126,3,71.0,0.4051131666695428,45.64775655346517
127,127,3,71.0,0.672088912186446,46.31984546565162
128,128,3,71.0,0.6046840401134216,46.92452950576504
129,129,3,71.0,0.4972711588437181,47.42180066460875
130,130,3,71.0,0.3357142807378623,47.75751494534662
131,131,3,71.0,0.0996119830511921,47.85712692839781
132,132,3,71.0,0.1539739900071554,48.01110091840496
133,133,3,71.0,0.4579039644771302,48.469004882882096
134,134,3,71.0,0.4412458642225845,48.91025074710468
135,135,3,71.0,0.248446416280292,49.15869716338497
136,136,3,71.0,0.6796044663314311,49.838301629716405
137,137,3,71.0,0.2154705387971813,50.05377216851358
138,138,3,71.0,0.1913263545083514,50.24509852302194
139,139,3,71.0,0.4001332725674439,50.64523179558938
140,140,3,71.0,0.0929400283285495,50.73817182391793
141,141,3,71.0,0.0325961451592226,50.770767969077156
142,142,3,71.0,0.214094929411485,50.984862898488636
143,143,3,71.0,0.5610729529419445,51.545935851430585
144,144,3,71.0,0.1323501435512417,51.67828599498182
145,145,3,71.0,0.3642093134431144,52.04249530842494
146,146,3,71.0,0.1388721219219247,52.18136743034686
147,147,3,71.0,0.0041248203359631,52.18549225068283
148,148,3,71.0,0.3081071185077392,52.49359936919056
149,149,3,71.0,0.073547390211296,52.56714675940186
150,150,3,71.0,0.0768404929397054,52.64398725234157
151,151,3,71.0,0.2842198111729892,52.928207063514556
152,152,3,71.0,0.0683740534475479,52.996581116962105
153,153,3,71.0,0.3832282670524697,53.37980938401457
154,154,3,71.0,0.3226108387799545,53.70242022279453
155,155,3,71.0,0.3502120280475407,54.052632250842066
156,156,3,71.0,0.0599444401516059,54.11257669099368
157,157,3,71.0,0.1281847687308521,54.240761459724524
158,158,3,71.0,0.2422127242629954,54.48297418398752
159,159,3,71.0,0.1127723158906319,54.59574649987815
160,160,3,71.0,0.4564292552292844,55.05217575510744
161,161,3,71.0,0.3701705822443477,55.42234633735178
162,162,3,71.0,0.2967413950155316,55.71908773236732
163,163,3,71.0,0.2412232611255003,55.96031099349282
164,164,3,71.0,0.2072538848880641,56.16756487838088
165,165,3,71.0,0.0255233048334942,56.19308818321438
166,166,3,71.0,0.3580345039809277,56.5511226871953
167,167,3,71.0,0.5268746812836467,57.07799736847895
168,168,3,71.0,0.0815311839547714,57.15952855243372
169,169,3,71.0,0.0367604455206041,57.196288997954326
170,170,3,71.0,0.5363175012296942,57.73260649918402
171,171,3,71.0,0.1998528463729824,57.932459345557
172,172,3,71.0,0.2571837228892052,58.18964306844621
173,173,3,71.0,0.0004094280539949,58.1900524965002
174,174,3,71.0,0.5159194741454114,58.705971970645614
175,175,3,71.0,0.2589857053512528,58.964957675996864
176,176,3,71.0,0.2376979673288515,59.20265564332572
177,177,3,71.0,0.1450971474229723,59.34775279074869
178,178,3,71.0,0.1081639221257043,59.4559167128744
179,179,3,71.0,0.2948808188258398,59.750797531700236
180,180,3,71.0,0.1559913580168395,59.90678888971708
181,181,3,71.0,0.4500026551027163,60.35679154481979
182,182,3,71.0,0.0617517087658906,60.41854325358568
183,183,3,71.0,0.4917284052918589,60.91027165887754
184,184,3,71.0,0.0933290613070257,61.003600720184565
185,185,3,71.0,0.2506075717748063,61.25420829195937
186,186,3,71.0,0.3945026614274862,61.64871095338686
187,187,3,71.0,0.1710211687973504,61.819732122184206
188,188,3,71.0,0.1458306472923615,61.96556276947657
189,189,3,71.0,0.0464869605711094,62.01204973004768
190,190,3,71.0,0.0708297668313343,62.082879496879016
191,191,3,71.0,0.2989308510983877,62.3818103479774
192,192,3,71.0,0.13015712935464,62.51196747733204
193,193,3,71.0,0.0660265196912329,62.57799399702328
194,194,3,71.0,0.3194177258001155,62.89741172282339
195,195,3,71.0,0.1559696294378919,63.05338135226128
196,196,3,71.0,0.2513899763524867,63.30477132861377
197,197,3,71.0,0.0039670281721206,63.30873835678589
198,198,3,71.0,0.0421761470555603,63.35091450384145
199,199,3,71.0,0.0828356013814745,63.43375010522293
200,200,3,71.0,0.1550685582739538,63.58881866349688
201,201,3,71.0,0.3148130607043412,63.90363172420122
202,202,3,71.0,0.6660166942747202,64.56964841847594
203,203,3,71.0,0.1864355468359552,64.75608396531189
204,204,3,71.0,0.0208104519288913,64.77689441724078
205,205,3,71.0,0.4912499755718846,65.26814439281267
206,206,3,71.0,0.2412650508411311,65.5094094436538
207,207,3,71.0,0.3498906704365501,65.85930011409035
208,208,3,71.0,0.2196179377838233,66.07891805187417
209,209,3,71.0,0.287349971807964,66.36626802368214
210,210,3,71.0,0.0960571874618944,66.46232521114403
211,211,3,71.0,0.315835484689201,66.77816069583324
212,212,3,71.0,0.3449604171358021,67.12312111296903
213,213,3,71.0,0.1211725810354485,67.24429369400448
214,214,3,71.0,0.0423872779080555,67.28668097191255
215,215,3,71.0,0.2047682434939579,67.4914492154065
216,216,3,71.0,0.2081059206953107,67.69955513610181
217,217,3,71.0,0.2727624987153777,67.97231763481719
218,218,3,71.0,0.0233357462606483,67.99565338107783
219,219,3,71.0,0.5800990437198686,68.5757524247977
220,220,3,71.0,0.589123731940017,69.16487615673772
221,221,3,71.0,0.2520117086572027,69.41688786539493
222,222,3,71.0,0.2006610492161,69.61754891461102
223,223,3,71.0,0.2411985204560004,69.85874743506703
224,224,3,71.0,0.2533495099555635,70.11209694502259
225,225,3,71.0,0.3038892400788489,70.41598618510143
226,226,3,71.0,0.5771999102153126,70.99318609531674
227,227,3,71.0,0.0493954244199832,71.04258151973673
228,228,3,71.0,0.0695186544264813,71.11210017416322
229,229,3,71.0,0.0408146846612446,71.15291485882446
230,230,3,71.0,0.1800695056201187,71.33298436444457
231,231,3,71.0,0.3060420206962895,71.63902638514087
232,232,3,71.0,0.5724160054821505,72.21144239062302
233,233,3,71.0,0.2642853004638367,72.47572769108686
234,234,3,71.0,0.0274377524128087,72.50316544349967
235,235,3,71.0,0.0023690401846784,72.50553448368434
236,236,3,71.0,0.6185524838259835,73.12408696751032
237,237,3,71.0,0.2019690394946615,73.32605600700498
238,238,3,71.0,0.2471767889393662,73.57323279594435
239,239,3,71.0,0.4132557396769439,73.98648853562129
240,240,3,71.0,0.3096760749599771,74.29616461058127
241,241,3,71.0,0.1659572609132319,74.4621218714945
242,242,3,71.0,0.042499808921772,74.50462168041628
243,243,3,71.0,0.0073151173257797,74.51193679774205
244,244,3,71.0,0.3601427439952809,74.87207954173734
245,245,3,71.0,0.3203430278786857,75.19242256961603
246,246,3,71.0,0.2136854405617362,75.40610801017776
247,247,3,71.0,0.4812009194707395,75.8873089296485
248,248,3,71.0,0.4888726233846276,76.37618155303312
249,249,3,71.0,0.4156043230407822,76.7917858760739
250,250,3,71.0,0.6714880653813339,77.46327394145524
251,251,3,71.0,0.1714933837514102,77.63476732520665
252,252,3,71.0,0.0554017880669409,77.6901691132736
253,253,3,71.0,0.4777892043833414,78.16795831765694
254,254,3,71.0,0.0869345432300482,78.25489286088698
255,255,3,71.0,0.5350332751130558,78.78992613600003
256,256,3,71.0,0.1433662111979534,78.93329234719799
257,257,3,71.0,0.3295448805795045,79.2628372277775
258,258,3,71.0,0.1803725416337058,79.4432097694112
259,259,3,71.0,0.4597763735856724,79.90298614299688
260,260,3,71.0,0.5256506310272244,80.4286367740241
261,261,3,71.0,0.1853413719325025,80.61397814595661
262,262,3,71.0,0.0733611612069555,80.68733930716355
263,263,3,71.0,0.5497226234374303,81.23706193060099
264,264,3,71.0,0.141157082525776,81.37821901312677
265,265,3,71.0,0.132133607848363,81.51035262097513
266,266,3,71.0,0.4377458360012447,81.94809845697637
267,267,3,71.0,0.0990868718182136,82.04718532879458
268,268,3,71.0,0.2683585677411083,82.31554389653569
269,269,3,71.0,0.3564901208207416,82.67203401735644
270,270,3,71.0,0.3346507468130921,83.00668476416952
271,271,3,71.0,0.2736991088270684,83.2803838729966
272,272,3,71.0,0.3496763045619667,83.63006017755856
273,273,3,71.0,0.1962136578042098,83.82627383536277
274,274,3,71.0,0.4522331684621228,84.2785070038249
