,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,62.0,0.2450865830403334,0.2450865830403334
1,1,3,62.0,0.1043981816381908,0.3494847646785242
2,2,3,62.0,0.0997014403056596,0.4491862049841838
3,3,3,62.0,0.3174981728850035,0.7666843778691873
4,4,3,62.0,0.0907077212846871,0.8573920991538744
5,5,3,62.0,0.2029779500005707,1.0603700491544452
6,6,3,62.0,0.3324584152806606,1.3928284644351057
7,7,3,62.0,0.3234840339950229,1.7163124984301286
8,8,3,62.0,0.145844054312516,1.8621565527426447
9,9,3,62.0,0.1592423165220782,2.021398869264723
10,10,3,62.0,0.6868980266518687,2.7082968959165914
11,11,3,62.0,0.8666547674265104,3.5749516633431018
12,12,3,62.0,0.1346680239650605,3.7096196873081624
13,13,3,62.0,0.3707750678149096,4.080394755123072
14,14,3,62.0,0.772477083989153,4.852871839112225
15,15,3,62.0,0.4819560939425208,5.334827933054746
16,16,3,62.0,0.2751746112998481,5.610002544354594
17,17,3,62.0,0.1113657669000352,5.721368311254629
18,18,3,62.0,0.4225724542186969,6.143940765473326
19,19,3,62.0,0.6867129621637954,6.830653727637122
20,20,3,62.0,0.3429852385289935,7.173638966166115
21,21,3,62.0,0.5901062197201729,7.763745185886288
22,22,3,62.0,0.840155531351995,8.603900717238282
23,23,3,62.0,0.5710564050507392,9.174957122289022
24,24,3,62.0,0.3376235496073277,9.51258067189635
25,25,3,62.0,0.276379089071934,9.788959760968284
26,26,3,62.0,0.2707963699288033,10.059756130897087
27,27,3,62.0,0.4574385916329485,10.517194722530036
28,28,3,62.0,0.5080051344093574,11.025199856939393
29,29,3,62.0,0.0353419634521557,11.060541820391549
30,30,3,62.0,0.4103046289348853,11.470846449326434
31,31,3,62.0,0.7796853505986284,12.250531799925062
32,32,3,62.0,0.8444502423559439,13.094982042281007
33,33,3,62.0,0.2866047940830692,13.381586836364075
34,34,3,62.0,0.5793835890822244,13.9609704254463
35,35,3,62.0,0.4104987153113416,14.371469140757641
36,36,3,62.0,0.4510039355737187,14.82247307633136
37,37,3,62.0,0.0651691644203519,14.887642240751711
38,38,3,62.0,0.1046271299490793,14.992269370700791
39,39,3,62.0,0.4538834939875501,15.446152864688342
40,40,3,62.0,0.4999567934552577,15.9461096581436
41,41,3,62.0,0.144811722823748,16.090921380967348
42,42,3,62.0,0.2070657107196614,16.29798709168701
43,43,3,62.0,0.8152842019685695,17.11327129365558
44,44,3,62.0,0.28681208132337,17.400083374978948
45,45,3,62.0,0.2715484395452023,17.67163181452415
46,46,3,62.0,0.3552344156486933,18.026866230172843
47,47,3,62.0,0.2245089259867328,18.251375156159575
48,48,3,62.0,0.3643503074232055,18.61572546358278
49,49,3,62.0,0.1428444375964367,18.758569901179218
50,50,3,62.0,0.1087648375583957,18.867334738737615
51,51,3,62.0,0.188236303116719,19.055571041854332
52,52,3,62.0,0.6298570786298169,19.68542812048415
53,53,3,62.0,0.5743175483730538,20.259745668857203
54,54,3,62.0,0.6444238813606344,20.904169550217837
55,55,3,62.0,0.773432481317395,21.677602031535233
56,56,3,62.0,0.2639884788278732,21.941590510363106
57,57,3,62.0,0.0201037354196429,21.96169424578275
58,58,3,62.0,0.2419097119303214,22.20360395771307
59,59,3,62.0,0.2380989282282637,22.441702885941336
60,60,3,62.0,0.0667240317295671,22.508426917670903
61,61,3,62.0,0.1824485200729649,22.690875437743866
62,62,3,62.0,0.5652114393895826,23.25608687713345
63,63,3,62.0,0.0219794331751902,23.27806631030864
64,64,3,62.0,0.088100108369295,23.366166418677935
65,65,3,62.0,0.4520646935475573,23.81823111222549
66,66,3,62.0,0.3855358205669464,24.203766932792437
67,67,3,62.0,0.3604063837002998,24.564173316492738
68,68,3,62.0,0.1424564905994914,24.70662980709223
69,69,3,62.0,0.4578117370381332,25.164441544130362
70,70,3,62.0,0.4208375288937246,25.585279073024086
71,71,3,62.0,0.3865271353873381,25.971806208411426
72,72,3,62.0,0.3175189479363903,26.289325156347815
73,73,3,62.0,0.8571931170095114,27.146518273357326
74,74,3,62.0,0.1278825505331398,27.274400823890467
75,75,3,62.0,0.4017209768440821,27.67612180073455
76,76,3,62.0,0.1703645631122035,27.84648636384675
77,77,3,62.0,0.4818268754749861,28.328313239321737
78,78,3,62.0,0.1579051868152878,28.486218426137025
79,79,3,62.0,0.2294927677769833,28.71571119391401
80,80,3,62.0,0.2154194944836339,28.931130688397644
81,81,3,62.0,0.3691317924962406,29.300262480893885
82,82,3,62.0,0.0414151434054638,29.341677624299347
83,83,3,62.0,0.2569371610859823,29.59861478538533
84,84,3,62.0,0.2721978907140367,29.870812676099366
85,85,3,62.0,0.5888510701846146,30.459663746283983
86,86,3,62.0,0.2773548262494476,30.73701857253343
87,87,3,62.0,0.6786720940059895,31.41569066653942
88,88,3,62.0,0.7019823940486433,32.11767306058806
89,89,3,62.0,0.2292097936322574,32.34688285422032
90,90,3,62.0,0.6357454066602737,32.982628260880595
91,91,3,62.0,0.1105667850113817,33.093195045891974
92,92,3,62.0,0.4971245752472203,33.590319621139194
93,93,3,62.0,0.2385027374592688,33.828822358598465
94,94,3,62.0,0.5394848716303491,34.368307230228815
95,95,3,62.0,0.1894680754081537,34.557775305636966
96,96,3,62.0,0.3780572366826109,34.935832542319574
97,97,3,62.0,0.2131183355199977,35.148950877839575
98,98,3,62.0,0.0609483189534704,35.209899196793046
99,99,3,62.0,0.2125449024180246,35.42244409921107
100,100,3,62.0,0.414521753894407,35.836965853105475
101,101,3,62.0,0.1874742225397654,36.024440075645245
102,102,3,62.0,0.8553069079823075,36.87974698362755
103,103,3,62.0,0.6493708657759834,37.529117849403534
104,104,3,62.0,0.3597056715679929,37.88882352097153
105,105,3,62.0,0.1700937803074793,38.058917301279
106,106,3,62.0,0.0307916361999786,38.08970893747898
107,107,3,62.0,0.14622028033422,38.2359292178132
108,108,3,62.0,0.2045638193611383,38.44049303717434
109,109,3,62.0,0.023766681286948,38.46425971846129
110,110,3,62.0,0.5568504662964117,39.0211101847577
111,111,3,62.0,0.1934476523283752,39.214557837086076
112,112,3,62.0,0.4393714926463429,39.65392932973242
113,113,3,62.0,0.1676465291628167,39.82157585889524
114,114,3,62.0,0.1350825710993129,39.95665842999455
115,115,3,62.0,0.2758805577187119,40.23253898771326
116,116,3,62.0,0.0053099409842115,40.237848928697474
117,117,3,62.0,0.6157426029781442,40.85359153167562
118,118,3,62.0,0.3173652401760609,41.17095677185168
119,119,3,62.0,0.5000588250945052,41.671015596946184
120,120,3,62.0,0.0662635177338293,41.737279114680014
121,121,3,62.0,0.1648885756320579,41.90216769031207
122,122,3,62.0,0.039714347166895,41.94188203747897
123,123,3,62.0,0.1486752292732674,42.090557266752235
124,124,3,62.0,0.5351785894533373,42.62573585620557
125,125,3,62.0,0.2353505615137602,42.86108641771933
126,126,3,62.0,0.3339462515140133,43.19503266923334
127,127,3,62.0,0.2367557089175112,43.431788378150856
128,128,3,62.0,0.2182303182411503,43.650018696392
129,129,3,62.0,0.1362418237051486,43.78626052009715
130,130,3,62.0,0.3370537288704616,44.12331424896762
131,131,3,62.0,0.202275445595161,44.32558969456278
132,132,3,62.0,0.3617552265342616,44.687344921097036
133,133,3,62.0,0.2472856941467407,44.934630615243776
134,134,3,62.0,0.2697061928873906,45.20433680813117
135,135,3,62.0,0.5889453340384249,45.793282142169595
136,136,3,62.0,0.1861911898494689,45.97947333201906
137,137,3,62.0,0.2114280846577934,46.19090141667686
138,138,3,62.0,0.1582980550138706,46.349199471690724
139,139,3,62.0,0.1981503426644341,46.54734981435516
140,140,3,62.0,0.0991498998482301,46.646499714203394
141,141,3,62.0,0.0768681882609614,46.723367902464354
142,142,3,62.0,0.3723638011964784,47.09573170366083
143,143,3,62.0,0.4664257348475354,47.562157438508365
144,144,3,62.0,0.0569388163942861,47.61909625490265
145,145,3,62.0,0.5294338425941977,48.14853009749685
146,146,3,62.0,0.2843091636152203,48.43283926111207
147,147,3,62.0,0.2628892148090779,48.69572847592115
