,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,66.0,0.3313221658485624,0.3313221658485624
1,1,3,66.0,0.2703660021938202,0.6016881680423826
2,2,3,66.0,0.075223625572433,0.6769117936148156
3,3,3,66.0,0.1332752046050338,0.8101869982198494
4,4,3,66.0,0.2665479199763226,1.076734918196172
5,5,3,66.0,0.3404019505822219,1.4171368687783938
6,6,3,66.0,0.0526415094706594,1.4697783782490532
7,7,3,66.0,0.2828042844566383,1.7525826627056915
8,8,3,66.0,0.0723378516930314,1.8249205143987228
9,9,3,66.0,0.0679101340961267,1.8928306484948496
10,10,3,66.0,0.0953692328004224,1.988199881295272
11,11,3,66.0,0.2317603823270361,2.2199602636223084
12,12,3,66.0,0.1720463035174224,2.3920065671397306
13,13,3,66.0,0.1188801344836167,2.510886701623347
14,14,3,66.0,0.4518085937239762,2.9626952953473236
15,15,3,66.0,0.0790748251087019,3.0417701204560252
16,16,3,66.0,0.153295154529737,3.195065274985762
17,17,3,66.0,0.1882196290692402,3.3832849040550026
18,18,3,66.0,0.0596887544790588,3.4429736585340613
19,19,3,66.0,0.2256645663416162,3.6686382248756777
20,20,3,66.0,0.0258607497906084,3.6944989746662857
21,21,3,66.0,0.0047282422265906,3.6992272168928766
22,22,3,66.0,0.1953592173472385,3.894586434240115
23,23,3,66.0,0.0882901326398434,3.9828765668799586
24,24,3,66.0,0.3269049217312942,4.309781488611253
25,25,3,66.0,0.0347429075923517,4.344524396203604
26,26,3,66.0,0.1401345762938682,4.484658972497472
27,27,3,66.0,0.0935279145008958,4.578186886998369
28,28,3,66.0,0.0804445546513162,4.658631441649685
29,29,3,66.0,0.1659154813755312,4.824546923025216
30,30,3,66.0,0.0072590537043042,4.83180597672952
31,31,3,66.0,0.3210188776258397,5.15282485435536
32,32,3,66.0,0.021857181188797,5.174682035544157
33,33,3,66.0,0.0163682703454175,5.191050305889574
34,34,3,66.0,0.0827322463012902,5.273782552190864
35,35,3,66.0,0.1522207548949887,5.426003307085853
36,36,3,66.0,0.0267064429091536,5.452709749995007
37,37,3,66.0,0.2644828674242117,5.717192617419219
38,38,3,66.0,0.1604825996607695,5.877675217079988
39,39,3,66.0,0.115258077211172,5.99293329429116
40,40,3,66.0,0.3068285772250494,6.299761871516209
41,41,3,66.0,0.1214528416256923,6.421214713141901
42,42,3,66.0,0.3708122512513565,6.792026964393258
43,43,3,66.0,0.0092912076130132,6.801318172006271
44,44,3,66.0,0.1282638206921475,6.929581992698418
45,45,3,66.0,0.2438396395585049,7.1734216322569235
46,46,3,66.0,0.095103641811683,7.268525274068606
47,47,3,66.0,0.3338685711858947,7.602393845254501
48,48,3,66.0,0.2558767209572899,7.858270566211791
49,49,3,66.0,0.0958322681445955,7.954102834356386
50,50,3,66.0,0.2784798195366304,8.232582653893017
51,51,3,66.0,0.0143843156487427,8.24696696954176
52,52,3,66.0,0.0470519891140552,8.294018958655816
53,53,3,66.0,0.0027818748434995,8.296800833499315
54,54,3,66.0,0.1475939473877279,8.444394780887043
55,55,3,66.0,0.0783950322097817,8.522789813096825
56,56,3,66.0,0.3930377889353884,8.915827602032213
57,57,3,66.0,0.3531004481299156,9.268928050162128
58,58,3,66.0,0.3845278596530083,9.653455909815136
59,59,3,66.0,0.4286752307973124,10.082131140612448
60,60,3,66.0,0.0221808155155745,10.104311956128024
61,61,3,66.0,0.001792112740412,10.106104068868435
62,62,3,66.0,0.0996015011421343,10.20570557001057
63,63,3,66.0,0.0688830110150007,10.27458858102557
64,64,3,66.0,0.0329914485306221,10.307580029556192
65,65,3,66.0,0.2930385446901232,10.600618574246315
66,66,3,66.0,0.2615945053475017,10.862213079593817
67,67,3,66.0,0.214817460448989,11.077030540042806
68,68,3,66.0,0.0696025373008249,11.146633077343632
69,69,3,66.0,0.2068086444875468,11.353441721831178
70,70,3,66.0,0.0966408939848923,11.45008261581607
71,71,3,66.0,0.1375687310711252,11.587651346887196
72,72,3,66.0,0.0853015805687215,11.672952927455917
73,73,3,66.0,0.1002038358785148,11.773156763334432
74,74,3,66.0,0.0283741901061022,11.801530953440533
75,75,3,66.0,0.20541334586027,12.006944299300804
76,76,3,66.0,0.0979127775278907,12.104857076828695
77,77,3,66.0,0.0899288454214886,12.194785922250183
78,78,3,66.0,0.0043315625090048,12.199117484759189
79,79,3,66.0,0.2284850674952473,12.427602552254434
80,80,3,66.0,0.1893490781730253,12.61695163042746
81,81,3,66.0,0.0365861904419657,12.653537820869426
82,82,3,66.0,0.0831741271496525,12.736711948019078
83,83,3,66.0,0.1783239086021245,12.915035856621204
84,84,3,66.0,0.209698480302819,13.124734336924023
85,85,3,66.0,0.2052038960934657,13.329938233017488
86,86,3,66.0,0.2375323015163281,13.567470534533816
87,87,3,66.0,0.1993562261897897,13.766826760723605
88,88,3,66.0,0.0124262369561351,13.779252997679741
89,89,3,66.0,0.1376555623061641,13.916908559985906
90,90,3,66.0,0.0721926273304979,13.989101187316402
91,91,3,66.0,0.2027505518623727,14.191851739178775
92,92,3,66.0,0.1901255169586686,14.381977256137445
93,93,3,66.0,0.0040880970077835,14.386065353145227
94,94,3,66.0,0.0940947074969901,14.480160060642218
95,95,3,66.0,0.1639040429065008,14.644064103548718
96,96,3,66.0,0.3748523913946312,15.01891649494335
97,97,3,66.0,0.1065677444275398,15.12548423937089
98,98,3,66.0,0.4059569119791109,15.53144115135
99,99,3,66.0,0.0311732991278551,15.562614450477856
100,100,3,66.0,0.098051377022161,15.660665827500017
101,101,3,66.0,0.4427089048798174,16.103374732379834
102,102,3,66.0,0.1157649599060596,16.219139692285893
103,103,3,66.0,0.2547510097855706,16.473890702071465
104,104,3,66.0,0.1262102844411081,16.600100986512572
105,105,3,66.0,0.1209127953379257,16.7210137818505
106,106,3,66.0,0.367120536030974,17.088134317881472
107,107,3,66.0,0.0093284607278361,17.09746277860931
108,108,3,66.0,0.2982154395253709,17.39567821813468
109,109,3,66.0,0.1593994468938521,17.55507766502853
110,110,3,66.0,0.222746987413401,17.777824652441932
111,111,3,66.0,0.3556170789083602,18.133441731350292
112,112,3,66.0,0.1728376382399726,18.306279369590264
113,113,3,66.0,0.1612364441648322,18.467515813755096
114,114,3,66.0,0.1544822892284575,18.621998102983554
115,115,3,66.0,0.0003057164501782,18.622303819433732
116,116,3,66.0,0.0350435953818885,18.65734741481562
117,117,3,66.0,0.154115106096965,18.811462520912585
118,118,3,66.0,0.1536996193754933,18.96516214028808
119,119,3,66.0,0.3127265706614458,19.277888710949526
120,120,3,66.0,0.2189310203017486,19.496819731251275
121,121,3,66.0,0.174715837247603,19.67153556849888
122,122,3,66.0,0.0781118810175089,19.749647449516385
123,123,3,66.0,0.2891192953507969,20.038766744867182
124,124,3,66.0,0.3577221199264293,20.39648886479361
125,125,3,66.0,0.2768475991421277,20.67333646393574
126,126,3,66.0,0.1360578673540309,20.80939433128977
127,127,3,66.0,0.1643976008878425,20.973791932177612
128,128,3,66.0,0.1695627392710309,21.143354671448645
129,129,3,66.0,0.2004976068385252,21.34385227828717
130,130,3,66.0,0.1484733597073367,21.492325637994504
131,131,3,66.0,0.1033704723699688,21.595696110364475
132,132,3,66.0,0.1937141591201079,21.789410269484584
133,133,3,66.0,0.0636850681495283,21.853095337634112
134,134,3,66.0,0.0666295424363098,21.919724880070422
135,135,3,66.0,0.2851599451920105,22.204884825262432
136,136,3,66.0,0.431212244264945,22.636097069527377
137,137,3,66.0,0.2042421152590481,22.840339184786423
138,138,3,66.0,0.3796727343730381,23.22001191915946
139,139,3,66.0,0.1760277218119919,23.396039640971455
140,140,3,66.0,0.22403096997111,23.620070610942566
141,141,3,66.0,0.2122500578606116,23.832320668803177
142,142,3,66.0,0.1804717121502228,24.0127923809534
143,143,3,66.0,0.0823949385898284,24.09518731954323
144,144,3,66.0,0.2396177674401553,24.334805086983383
145,145,3,66.0,0.0907300059127065,24.425535092896087
146,146,3,66.0,0.057237260377625,24.482772353273713
147,147,3,66.0,0.1260489785184103,24.608821331792125
148,148,3,66.0,0.046513565310516,24.65533489710264
149,149,3,66.0,0.0743890461853046,24.729723943287944
150,150,3,66.0,0.0974918683597374,24.827215811647683
151,151,3,66.0,0.2543821572948492,25.081597968942532
152,152,3,66.0,0.2370829820123416,25.318680950954874
153,153,3,66.0,0.229150924116373,25.547831875071246
154,154,3,66.0,0.1832983018500378,25.731130176921283
155,155,3,66.0,0.0879431910922015,25.819073368013484
156,156,3,66.0,0.0974109482296307,25.916484316243118
157,157,3,66.0,0.0940304098493888,26.010514726092506
158,158,3,66.0,0.2806167906113049,26.29113151670381
159,159,3,66.0,0.2926249854851681,26.58375650218898
160,160,3,66.0,0.007651595422589,26.591408097611566
161,161,3,66.0,0.1802013836909492,26.771609481302516
162,162,3,66.0,0.2371708481736725,27.00878032947619
163,163,3,66.0,0.0212456490844398,27.03002597856063
164,164,3,66.0,0.1980707220237839,27.228096700584413
165,165,3,66.0,0.3262299489898906,27.554326649574303
166,166,3,66.0,0.1989039785994918,27.753230628173796
167,167,3,66.0,0.6128038393277876,28.36603446750158
168,168,3,66.0,0.1369320360406575,28.50296650354224
169,169,3,66.0,0.3051848969594333,28.80815140050167
170,170,3,66.0,0.1876113856461901,28.995762786147864
171,171,3,66.0,0.1369919391405458,29.132754725288407
172,172,3,66.0,0.1252424273135161,29.257997152601924
173,173,3,66.0,0.0357822755024596,29.293779428104386
174,174,3,66.0,0.0847587145197511,29.378538142624137
175,175,3,66.0,0.256165478308186,29.63470362093232
176,176,3,66.0,0.2041227386039272,29.83882635953625
177,177,3,66.0,0.3350231321978172,30.173849491734067
178,178,3,66.0,0.1258315778883066,30.299681069622373
179,179,3,66.0,0.2011986823658401,30.50087975198821
180,180,3,66.0,0.0506381304347547,30.551517882422967
181,181,3,66.0,0.2191984116171971,30.770716294040163
182,182,3,66.0,0.2255044015350574,30.99622069557522
183,183,3,66.0,0.2945633696938133,31.290784065269037
184,184,3,66.0,0.264791007906588,31.555575073175625
185,185,3,66.0,0.2317026644566923,31.787277737632316
186,186,3,66.0,0.0187913813130271,31.80606911894534
187,187,3,66.0,0.0725937305888255,31.87866284953417
188,188,3,66.0,0.0366301033490374,31.915292952883206
189,189,3,66.0,0.2162911161422725,32.13158406902548
190,190,3,66.0,0.1518695225270122,32.283453591552494
191,191,3,66.0,0.3970947265454552,32.68054831809795
192,192,3,66.0,0.3314028030524791,33.011951121150425
