context,p,decision
24,1,"[0.12610023762888276, -0.05011378387902535]"
24,2,"[0.053674851688149894, -0.03599682360590743]"
24,3,"[np.float64(-0.08026110801107417), np.float64(-0.006927678690656851)]"
25,0,"[np.float64(-0.1486451134462059), np.float64(-0.1865746202207299)]"
25,1,"[0.02887000057639686, -0.11498676375925007]"
25,2,"[-0.03335645363756127, -0.1613450078562389]"
25,3,"[0.015884171619634364, -0.13244548957292818]"
26,0,"[np.float64(0.17181703092321848), np.float64(0.04118126186345496)]"
26,1,"[0.1497617597138004, -0.023419923071065423]"
26,2,"[0.12552763460323363, -0.03607717902579485]"
26,3,"[0.12544756054421774, -0.034551581724926485]"
27,0,"[np.float64(0.13807630976199106), np.float64(0.04938753402639948)]"
27,1,"[-0.019856496362580557, -0.1444273796667217]"
27,2,"[0.07801659439740578, -0.021157360820662163]"
27,3,"[np.float64(0.08782560934697663), np.float64(-0.00752971647471324)]"
28,0,"[np.float64(0.023505941810106117), np.float64(-0.00421868217454973)]"
28,1,"[0.12467514112476552, 0.040612829274799]"
28,2,"[0.04903082992297558, 0.04969471059986052]"
28,3,"[np.float64(0.034163236218655545), np.float64(0.032862804694590755)]"
29,0,"[np.float64(0.026477454277176835), np.float64(0.035905200442983384)]"
29,1,"[0.10968988266989363, 0.15158204947475504]"
29,2,"[0.09018842555738141, 0.06998992779676119]"
29,3,"[0.0834217068160769, 0.0648913427334533]"
30,0,"[np.float64(-0.030974416514648002), np.float64(-0.15319482410807927)]"
30,1,"[-0.07301382611062995, 0.08329158830333994]"
30,2,"[-0.05734030498059184, 0.048576461634479935]"
30,3,"[np.float64(-0.023009097453517487), np.float64(-0.10374375123002977)]"
31,0,"[np.float64(-0.07771123683921644), np.float64(-0.055296973221639276)]"
31,1,"[-0.12663764588761914, -0.07082910200451177]"
31,2,"[-0.10374894971801583, -0.06540684117471526]"
31,3,"[np.float64(-0.07122715719330157), np.float64(-0.053031535059471724)]"
32,0,"[np.float64(-0.03322231940840492), np.float64(0.07725856364805275)]"
32,1,"[-0.1022724744401921, -0.037968621976153055]"
32,2,"[-0.0990152350766373, 0.030606435389085695]"
32,3,"[-0.09499695391343341, 0.03830077574097567]"
33,0,"[np.float64(-0.23627854315326974), np.float64(0.2695808137828164)]"
33,1,"[-0.26529645008441316, 0.1484401583461057]"
33,2,"[np.float64(-0.24629244303354308), np.float64(0.27015209548981)]"
33,3,"[np.float64(-0.24550692457623818), np.float64(0.27258335663166267)]"
34,0,"[np.float64(0.06738709793615624), np.float64(-0.05289211110878754)]"
34,1,"[0.09367067930262313, -0.2801827027104047]"
34,2,"[0.09102532213167422, -0.27830610582693316]"
34,3,"[np.float64(0.06751706431658537), np.float64(-0.1646476426158569)]"
35,0,"[np.float64(0.0591106351350772), np.float64(-0.03861383260057595)]"
35,1,"[-0.0183345694776368, 0.024721551248340835]"
35,2,"[-0.0183345694776368, 0.024721551248340835]"
35,3,"[0.02846643065895552, 0.007418182433673405]"
36,0,"[np.float64(-0.08412494472605714), np.float64(-0.05880529986428122)]"
36,1,"[0.0383375225799042, -0.06118063363895516]"
36,2,"[0.0024767675952033982, -0.07071551187429921]"
36,3,"[np.float64(-0.07461565173873919), np.float64(-0.06110492087774223)]"
37,0,"[np.float64(0.056325445196021263), np.float64(0.0664249215151883)]"
37,1,"[0.12088765723070213, -0.1019877612022486]"
37,2,"[0.08496293889144674, -0.040095475610379364]"
37,3,"[np.float64(0.05894258170295977), np.float64(0.0017540304329297443)]"
38,0,"[np.float64(-0.05249989099830381), np.float64(0.11577019128633978)]"
38,1,"[-0.04259007465520431, 0.16404127488263787]"
38,2,"[-0.027872358679459516, 0.15824900165086714]"
38,3,"[np.float64(-0.005442037783825376), np.float64(0.11609138729294674)]"
0,0,"[np.float64(0.015432080733353226), np.float64(-0.19998942113146026)]"
0,1,"[-0.12293835150797847, -0.05886190143808339]"
0,2,"[-0.037295838689222066, -0.13689154328622005]"
0,3,"[np.float64(-0.023262810442599702), np.float64(-0.15923359611766774)]"
1,0,"[np.float64(-0.08142524491552314), np.float64(0.06138378380083105)]"
1,1,"[-0.062099472004783426, 0.1714714844216369]"
1,2,"[-0.061418853523862914, 0.13304340096677547]"
1,3,"[np.float64(-0.0794614993024049), np.float64(0.07638101456858376)]"
2,0,"[np.float64(0.13122770695864966), np.float64(0.18574123917634677)]"
2,1,"[0.19182585339621622, -0.003045641356045338]"
2,2,"[0.17369996492469775, 0.10676048230454979]"
2,3,"[np.float64(0.1705911001004871), np.float64(0.11602700985131625)]"
3,0,"[np.float64(-0.16170941251861481), np.float64(0.24547659737323585)]"
3,1,"[-0.06817144243060615, 0.10490164406402656]"
3,2,"[-0.09543615568143016, 0.14130331280111952]"
3,3,"[np.float64(-0.15595897018392452), np.float64(0.2472747958556823)]"
4,0,"[np.float64(-0.25401989766610156), np.float64(-0.02417133310475489)]"
4,1,"[-0.21274388671180622, -0.11063301256676025]"
4,2,"[-0.2378019255010977, -0.0661205897165371]"
4,3,"[np.float64(-0.24906466768374852), np.float64(-0.03757418665430351)]"
5,0,"[np.float64(0.16492812439816), np.float64(-0.12845381846122048)]"
5,1,"[-0.08271459277338539, -0.011235932479487315]"
5,2,"[0.042407683305513776, -0.08059186322420193]"
5,3,"[np.float64(0.1480997822628996), np.float64(-0.11641806461299357)]"
6,0,"[np.float64(0.39753914231717635), np.float64(0.31403014703488913)]"
6,1,"[0.4023796317693474, 0.21630841316368016]"
6,2,"[0.40024473826297075, 0.24613393397821665]"
6,3,"[np.float64(0.4009398319881008), np.float64(0.2962196835612242)]"
7,0,"[np.float64(-0.2746477439893789), np.float64(-0.04094441278416295)]"
7,1,"[-0.250682252533745, -0.08191715870244001]"
7,2,"[-0.26147123917313836, -0.0627873515393793]"
