p,Up,Dist1,Distl,Rel-Rel,Rel-Nonrel,Nonrel-Rel,Nonrel-Nonrel
1.0,0.7999999999999998,0.0,3.177813567845078e-11,1.7136433418941012e-19,0.4500000000317781,0.5499999999702841,1.7136433418941012e-19
1.1,0.6708015163015836,5.7741790267771346e-11,2.1566054561118972e-16,0.0,0.45000000000000007,0.55,0.0
1.2000000000000002,0.5802576600301859,5.4791016883030165e-11,2.0245633684973385e-16,0.0,0.45000000000000007,0.55,0.0
1.3000000000000003,0.5140523951958019,5.241275417849314e-11,1.9226609326076615e-16,0.0,0.45000000000000007,0.55,0.0
1.4000000000000004,0.4639745508527854,5.045698356113296e-11,1.8417484849899135e-16,0.0,0.45000000000000007,0.55,0.0
1.5000000000000004,0.42503503229716183,4.882147881367157e-11,1.7759657552513614e-16,0.0,0.45000000000000007,0.55,0.0
1.6000000000000005,0.3940555529909742,4.7434291442210575e-11,1.7214128924117836e-16,0.0,0.45000000000000007,0.55,0.0
1.7000000000000006,0.3689298423028507,4.624337660275009e-11,1.6754086899992654e-16,0.0,0.45000000000000007,0.55,0.0
1.8000000000000007,0.34821466128635914,4.5210191983856755e-11,1.6360569479543816e-16,0.0,0.45000000000000007,0.55,0.0
1.9000000000000008,0.3308924310273202,4.4305607373812435e-11,1.6019828896730538e-16,0.0,0.45000000000000007,0.55,0.0
2.000000000000001,0.3162277660168378,4.350721032781894e-11,1.572167509214186e-16,0.0,0.45000000000000007,0.55,0.0
2.100000000000001,0.3036776654921385,4.279748375463321e-11,1.545840402505905e-16,0.0,0.45000000000000007,0.55,0.0
2.200000000000001,0.29283354188917704,4.216254410554927e-11,1.5224086413808212e-16,0.0,0.45000000000000007,0.55,0.0
2.300000000000001,0.28338277400803613,4.159124938616932e-11,1.5014084804466966e-16,0.0,0.45000000000000007,0.55,0.0
2.4000000000000012,0.2750825892468554,4.1074556784658954e-11,1.4824718855086671e-16,0.0,0.45000000000000007,0.55,0.0
2.5000000000000013,0.2677419365168458,4.0605052274395153e-11,1.465302895670364e-16,0.0,0.45000000000000007,0.55,0.0
2.6000000000000014,0.2612086603403102,4.017660091107334e-11,1.449660640106476e-16,0.0,0.45000000000000007,0.55,0.0
2.7000000000000015,0.25536026662126726,3.978408326676579e-11,1.435346940303901e-16,0.0,0.45000000000000007,0.55,0.0
2.8000000000000016,0.25009716866093906,3.942319428302864e-11,1.4221971249890987e-16,0.0,0.45000000000000007,0.55,0.0
2.9000000000000017,0.2453376758602243,3.909028799109105e-11,1.410073130949118e-16,0.0,0.45000000000000007,0.55,0.0
3.0000000000000018,0.24101422641752288,3.878225637038399e-11,1.398858253895619e-16,0.0,0.45000000000000007,0.55,0.0
3.100000000000002,0.2370705210142952,3.84964339170027e-11,1.388453106558515e-16,0.0,0.45000000000000007,0.55,0.0
3.200000000000002,0.2334593178213085,3.8230521786505625e-11,1.3787724712922676e-16,0.0,0.45000000000000007,0.55,0.0
3.300000000000002,0.23014071891812338,3.79825269907687e-11,1.3697428234371517e-16,0.0,0.45000000000000007,0.55,0.0
3.400000000000002,0.22708082604669988,3.775071328148866e-11,1.361300363338801e-16,0.0,0.45000000000000007,0.55,0.0
3.500000000000002,0.2242506768873063,3.7533561185731954e-11,1.353389438217414e-16,0.0,0.45000000000000007,0.55,0.0
3.6000000000000023,0.22162539649570714,3.732973526728978e-11,1.3459612658345147e-16,0.0,0.45000000000000007,0.55,0.0
3.7000000000000024,0.21918351527870295,3.713805713672134e-11,1.3389728940101351e-16,0.0,0.45000000000000007,0.55,0.0
3.8000000000000025,0.21690641697166974,3.6957483067755794e-11,1.3323863461012305e-16,0.0,0.45000000000000007,0.55,0.0
3.9000000000000026,0.21477788890488955,3.678708532962672e-11,1.3261679143403975e-16,0.0,0.45000000000000007,0.55,0.0
4.000000000000003,0.21278375335228733,3.662603653606913e-11,1.320287571672051e-16,0.0,0.45000000000000007,0.55,0.0
4.100000000000002,0.21091156360091717,3.647359645796314e-11,1.3147184792622703e-16,0.0,0.45000000000000007,0.55,0.0
4.200000000000002,0.20915035201933005,3.632910085936665e-11,1.3094365717960932e-16,0.0,0.45000000000000007,0.55,0.0
4.300000000000002,0.20749042016074057,3.619195200424701e-11,1.3044202064366473e-16,0.0,0.45000000000000007,0.55,0.0
4.400000000000001,0.20592316304316743,3.6061610549687956e-11,1.2996498642081157e-16,0.0,0.45000000000000007,0.55,0.0
4.500000000000001,0.20444092136954428,3.593758859523444e-11,1.2951078947996062e-16,0.0,0.45000000000000007,0.55,0.0
4.6000000000000005,0.2030368567069749,3.5819443700709906e-11,1.2907782975299919e-16,0.0,0.45000000000000007,0.55,0.0
4.7,0.2017048456244532,3.570677371882594e-11,1.2866465325825737e-16,0.0,0.45000000000000007,0.55,0.0
4.8,0.20043938955803314,3.5599212316130125e-11,1.282699357701152e-16,0.0,0.45000000000000007,0.55,0.0
4.8999999999999995,0.19923553778047878,3.5496425077754194e-11,1.278924686400554e-16,0.0,0.45000000000000007,0.55,0.0
4.999999999999999,0.1980888213355545,3.539810610917049e-11,1.27531146443514e-16,0.0,0.45000000000000007,0.55,0.0
5.099999999999999,0.19699519618308364,3.5303975062585614e-11,1.271849561824537e-16,0.0,0.45000000000000007,0.55,0.0
5.199999999999998,0.19595099411085803,3.5213774527391335e-11,1.2685296781866348e-16,0.0,0.45000000000000007,0.55,0.0
5.299999999999998,0.1949528802196138,3.512726773376104e-11,1.2653432594946524e-16,0.0,0.45000000000000007,0.55,0.0
