p,Up,Dist1,Distl,Rel_adp_p,Rel_div_p,Nonrel_adp_p,Nonrel_div_p,Rel_adp_n,Rel_div_n,Nonrel_adp_n,Nonrel_div_n
1.0,4.0,0.0,0.09079098818726761,0.25000000025495506,0.7500000004775393,0.5592090151739123,0.440790988151137,-0.2500000004141826,-0.7500000014487908,-0.5592090145282076,-0.44079098680712275
1.1,3.002774142464737,0.14384390762256444,0.1763182710052039,0.25,0.75,0.6,0.4,-0.25,-0.75,-0.6,-0.4
1.2000000000000002,2.3580635675582626,0.04186808640777437,0.2463753317309191,0.25,0.75,0.5723966345122342,0.4276033654877658,-0.25,-0.75,-0.5723966345122342,-0.4276033654877658
1.3000000000000003,1.9331933653243225,0.04443214498157442,0.21930166313813482,0.25,0.7499999999999999,0.5745048845767337,0.42549511542326635,-0.25,-0.7499999999999999,-0.5745048845767337,-0.42549511542326635
1.4000000000000004,1.6345955180597778,0.048636152974006,0.19575505920462455,0.25,0.75,0.5772772750766532,0.4227227249233466,-0.25,-0.75,-0.5772772750766532,-0.4227227249233466
1.5000000000000004,1.416334042933198,0.053612930509097684,0.17516601920694236,0.25,0.7499999999999999,0.5804853192581857,0.41951468074181425,-0.25,-0.7499999999999999,-0.5804853192581857,-0.41951468074181425
1.6000000000000005,1.2515258995952014,0.05813104908661213,0.1578075248110854,0.25,0.75,0.5836501090818857,0.41634989091811436,-0.25,-0.75,-0.5836501090818857,-0.41634989091811436
1.7000000000000006,1.1236373292371233,0.06384923498561262,0.1413594183506256,0.25,0.75,0.5874579930922421,0.41254200690775794,-0.25,-0.75,-0.5874579930922421,-0.41254200690775794
1.8000000000000007,1.0220504619298156,0.06941761621120764,0.12670176181136666,0.25,0.75,0.5913450214045755,0.40865497859542466,-0.25,-0.75,-0.5913450214045755,-0.40865497859542466
1.9000000000000008,0.9397098128048859,0.07534543003840657,0.11298322892830295,0.25,0.7499999999999999,0.5955321412848087,0.40446785871519164,-0.25,-0.7499999999999999,-0.5955321412848087,-0.40446785871519164
2.000000000000001,0.8717797887081341,0.0815819726280699,0.10000000007227791,0.25,0.75,0.6,0.4,-0.25,-0.75,-0.6,-0.4
2.100000000000001,0.8148585413330267,0.08826293976283288,0.08742338923179928,0.25,0.75,0.6048214378574432,0.3951785621425568,-0.25,-0.75,-0.6048214378574432,-0.3951785621425568
2.200000000000001,0.7665430037030457,0.09414058185422336,0.07635234513304856,0.25,0.75,0.609340807615232,0.39065919238476793,-0.25,-0.75,-0.609340807615232,-0.39065919238476793
2.300000000000001,0.7250997812641213,0.09903986210332351,0.06684545522847722,0.25,0.75,0.6134146957377384,0.3865853042622615,-0.25,-0.75,-0.6134146957377384,-0.3865853042622615
2.4000000000000012,0.6892277812822077,0.10304661628137272,0.05872453043474625,0.25,0.75,0.6170419716772348,0.38295802832276515,-0.25,-0.75,-0.6170419716772348,-0.38295802832276515
2.5000000000000013,0.6579282713369696,0.10629240595710249,0.05178388266159204,0.25,0.75,0.6202579696217654,0.3797420303782346,-0.25,-0.75,-0.6202579696217654,-0.3797420303782346
2.6000000000000014,0.6304218310270089,0.10890567771779701,0.04583491976225361,0.25,0.75,0.6231072670218859,0.37689273297811415,-0.25,-0.75,-0.6231072670218859,-0.37689273297811415
2.7000000000000015,0.6060918451812045,0.11099857171551114,0.04071621687666173,0.25,0.75,0.6256341124059112,0.3743658875940889,-0.25,-0.75,-0.6256341124059112,-0.3743658875940889
2.8000000000000016,0.5844447116617466,0.11266497842393482,0.03629313379576036,0.25,0.75,0.6278790872106796,0.3721209127893204,-0.25,-0.75,-0.6278790872106796,-0.3721209127893204
2.9000000000000017,0.5650811419996622,0.1139820476987345,0.03245454929099866,0.25,0.75,0.6298781138256334,0.3701218861743666,-0.25,-0.75,-0.6298781138256334,-0.3701218861743666
3.0000000000000018,0.5476750752178039,0.11501270717063045,0.029109000070852653,0.25,0.75,0.6316624790708012,0.3683375209291988,-0.25,-0.75,-0.6316624790708012,-0.3683375209291988
3.100000000000002,0.5319579455753392,0.11580814756781022,0.02618115784943145,0.25,0.75,0.6332592100311769,0.36674078996882303,-0.25,-0.75,-0.6332592100311769,-0.36674078996882303
3.200000000000002,0.5177067883046166,0.1164100237664739,0.02360881823221585,0.25,0.75,0.6346915753750788,0.36530842462492125,-0.25,-0.75,-0.6346915753750788,-0.36530842462492125
3.300000000000002,0.5047351408372821,0.11685229521313249,0.021340421896016162,0.25,0.75,0.635979594376564,0.36402040562343596,-0.25,-0.75,-0.635979594376564,-0.36402040562343596
3.400000000000002,0.49288600839108154,0.11716273646536818,0.01933303652362481,0.25,0.75,0.6371405142316491,0.36285948576835086,-0.25,-0.75,-0.6371405142316491,-0.36285948576835086
3.500000000000002,0.48202637269409093,0.11736410628146526,0.017550780939991264,0.25,0.75,0.6381892003121392,0.36181079968786073,-0.25,-0.75,-0.6381892003121392,-0.36181079968786073
3.6000000000000023,0.4720428669681705,0.1174751405177224,0.01596350370883886,0.25,0.75,0.6391385119287633,0.36086148807123675,-0.25,-0.75,-0.6391385119287633,-0.36086148807123675
3.7000000000000024,0.46283834122631606,0.11751130119823117,0.014545766877288353,0.25,0.75,0.6399995923241151,0.360000407675885,-0.25,-0.75,-0.6399995923241151,-0.360000407675885
3.8000000000000025,0.45432911354344946,0.11748538903176409,0.013276014698790483,0.25,0.75,0.6407821235457083,0.35921787645429165,-0.25,-0.75,-0.6407821235457083,-0.35921787645429165
3.9000000000000026,0.4464427544139863,0.11740804707224779,0.012135889740362303,0.25,0.75,0.6414945506351433,0.3585054493648568,-0.25,-0.75,-0.6414945506351433,-0.3585054493648568
4.000000000000003,0.4391162887128659,0.11728813398816228,0.011109710249472295,0.25,0.75,0.6421442485817109,0.357855751418289,-0.25,-0.75,-0.6421442485817109,-0.357855751418289
4.100000000000002,0.43229472725488566,0.11713305699223558,0.010184012756079016,0.25,0.75,0.642737685839339,0.357262314160661,-0.25,-0.75,-0.642737685839339,-0.357262314160661
4.200000000000002,0.4259298603313768,0.116949017954213,0.00934720169491963,0.25,0.75,0.6432805458525189,0.3567194541474811,-0.25,-0.75,-0.6432805458525189,-0.3567194541474811
4.300000000000002,0.4199792608623488,0.11674123408772345,0.008589240945802528,0.25,0.75,0.643777844911768,0.356222155088232,-0.25,-0.75,-0.643777844911768,-0.356222155088232
4.400000000000001,0.4144054563217793,0.11651408479449571,0.007901432754164878,0.25,0.75,0.6442340080805888,0.3557659919194112,-0.25,-0.75,-0.6442340080805888,-0.3557659919194112
4.500000000000001,0.4091752373594707,0.1162712641547166,0.007276202176556961,0.25,0.75,0.6446529573803023,0.3553470426196978,-0.25,-0.75,-0.6446529573803023,-0.3553470426196978
4.6000000000000005,0.4042590777631932,0.11601590177055988,0.0067069224373452006,0.25,0.75,0.645038183785642,0.354961816214358,-0.25,-0.75,-0.645038183785642,-0.354961816214358
4.7,0.39963064559347256,0.11575063912388059,0.006187792490942768,0.25,0.75,0.6453927914953693,0.35460720850463073,-0.25,-0.75,-0.6453927914953693,-0.35460720850463073
