p,Rel_adp_p,Rel_div_p,Nonrel_adp_p,Nonrel_div_p
1,0.445601379,0.55439862,0.6,0.4
1.5,0.450588405,0.549411595,0.60151423,0.39848577
2,0.458333333,0.541666667,0.616666667,0.383333333
2.5,0.472357517,0.527642483,0.625299305,0.374700695
2.8,0.482897904,0.517102096,0.62683498,0.37316502
3,0.49,0.51,0.627008323,0.372991677
3.5,0.505373735,0.494626265,0.625986573,0.374013427
3.8,0.512587269,0.487412731,0.62496544,0.37503456
