0,0,[-0.      0.4143  0.5857 -0.    ]
0,1,"[0.0, 0.4969810410438696, 0.5030189589561305, 0.0]"
0,2,"[0.0, 0.4560618110821366, 0.5439381889178634, 0.0]"
0,3,[0.     0.4157 0.5843 0.    ]
1,0,[-0.      0.5777  0.4223 -0.    ]
1,1,"[0.0, 0.5634355805172435, 0.4365644194827565, 0.0]"
1,2,"[0.0, 0.5700555184738687, 0.4299444815261313, 0.0]"
1,3,[0.     0.5744 0.4256 0.    ]
2,0,[0.     0.4934 0.5066 0.    ]
2,1,"[0.0, 0.5201038364689495, 0.47989616353105047, 0.0]"
2,2,"[0.0, 0.5088127858923335, 0.49118721410766647, 0.0]"
2,3,[0.     0.4996 0.5004 0.    ]
3,0,[0.     0.4756 0.5244 0.    ]
3,1,"[0.0, 0.48697841500205813, 0.5130215849979418, 0.0]"
3,2,"[0.0, 0.48322080507539744, 0.5167791949246024, 0.0]"
3,3,[0.    0.478 0.522 0.   ]
4,0,[0.     0.5181 0.4819 0.    ]
4,1,"[0.0, 0.5395223497357474, 0.4604776502642525, 0.0]"
4,2,"[0.0, 0.5294927468385191, 0.47050725316148084, 0.0]"
4,3,[0.     0.5222 0.4778 0.    ]
5,0,[-0.      0.4692  0.5308 -0.    ]
5,1,"[0.0, 0.5553686137382021, 0.4446313862617978, 0.0]"
5,2,"[0.0, 0.514483749911698, 0.48551625008830196, 0.0]"
5,3,[0.     0.4917 0.5083 0.    ]
6,0,[0.     0.4275 0.5725 0.    ]
6,1,"[0.0, 0.42103955199619203, 0.578960448003808, 0.0]"
6,2,"[0.0, 0.42438488274415154, 0.5756151172558484, 0.0]"
6,3,[0.     0.4252 0.5748 0.    ]
7,0,[0.     0.5949 0.4051 0.    ]
7,1,"[0.0, 0.598054782746895, 0.4019452172531049, 0.0]"
7,2,"[0.0, 0.596470308739028, 0.403529691260972, 0.0]"
7,3,[0.     0.5963 0.4037 0.    ]
8,0,[0.     0.5005 0.4995 0.    ]
8,1,"[0.0, 0.5027712239880219, 0.4972287760119781, 0.0]"
8,2,"[0.0, 0.5016718459615442, 0.49832815403845576, 0.0]"
8,3,[0.     0.5016 0.4984 0.    ]
9,0,[0.     0.5007 0.4993 0.    ]
9,1,"[0.0, 0.5051993991548304, 0.4948006008451696, 0.0]"
9,2,"[0.0, 0.5039145393251998, 0.4960854606748002, 0.0]"
9,3,[0.     0.5007 0.4993 0.    ]
10,0,[0.     0.5331 0.4669 0.    ]
10,1,"[0.0, 0.5262212583272705, 0.4737787416727295, 0.0]"
10,2,"[0.0, 0.5283009508179907, 0.4716990491820093, 0.0]"
10,3,[0.     0.5317 0.4683 0.    ]
11,0,[0.     0.5155 0.4845 0.    ]
11,1,"[0.0, 0.48122018509263337, 0.5187798149073666, 0.0]"
11,2,"[0.0, 0.49719911292085367, 0.5028008870791464, 0.0]"
11,3,[0.     0.5131 0.4869 0.    ]
12,0,[0.     0.4365 0.5635 0.    ]
12,1,"[0.0, 0.46192602308833586, 0.5380739769116641, 0.0]"
12,2,"[0.0, 0.44891563031882004, 0.5510843696811799, 0.0]"
12,3,[0.     0.4421 0.5579 0.    ]
13,0,[-0.      0.4059  0.5941 -0.    ]
13,1,"[0.0, 0.4445320003392795, 0.5554679996607205, 0.0]"
13,2,"[0.0, 0.42508093161882665, 0.5749190683811733, 0.0]"
13,3,[0.     0.4137 0.5863 0.    ]
14,0,[0.     0.4774 0.5226 0.    ]
14,1,"[0.0, 0.5125942533403979, 0.4874057466596021, 0.0]"
14,2,"[0.0, 0.49455214001727393, 0.5054478599827261, 0.0]"
14,3,[0.     0.4881 0.5119 0.    ]
15,0,[0.     0.5253 0.4747 0.    ]
15,1,"[0.0, 0.4645559441713847, 0.5354440558286153, 0.0]"
15,2,"[0.0, 0.4965401221603844, 0.5034598778396155, 0.0]"
15,3,[0.     0.5253 0.4747 0.    ]
16,0,[-0.      0.5177  0.4823 -0.    ]
16,1,"[0.0, 0.5139059526655532, 0.4860940473344468, 0.0]"
16,2,"[0.0, 0.5157563400149486, 0.48424365998505137, 0.0]"
16,3,[0.     0.5159 0.4841 0.    ]
17,0,[-0.      0.5618  0.4382 -0.    ]
17,1,"[0.0, 0.5558638503464934, 0.4441361496535065, 0.0]"
17,2,"[0.0, 0.5587725596923302, 0.44122744030766975, 0.0]"
17,3,[0.   0.56 0.44 0.  ]
18,0,[-0.     0.473  0.527 -0.   ]
18,1,"[0.0, 0.44764963044033723, 0.5523503695596628, 0.0]"
18,2,"[0.0, 0.46052559661942516, 0.5394744033805748, 0.0]"
18,3,[0.     0.4654 0.5346 0.    ]
19,0,[0.     0.4986 0.5014 0.    ]
19,1,"[0.0, 0.4751208585810908, 0.5248791414189092, 0.0]"
19,2,"[0.0, 0.48639744636024873, 0.5136025536397513, 0.0]"
19,3,[0.     0.4908 0.5092 0.    ]
20,0,[0.     0.4805 0.5195 0.    ]
20,1,"[0.0, 0.4610186037935791, 0.5389813962064208, 0.0]"
20,2,"[0.0, 0.47062673210012207, 0.5293732678998779, 0.0]"
20,3,[0.     0.4758 0.5242 0.    ]
21,0,[0.     0.4734 0.5266 0.    ]
21,1,"[0.0, 0.5304801351092088, 0.46951986489079117, 0.0]"
21,2,"[0.0, 0.5014369740448352, 0.4985630259551647, 0.0]"
21,3,[0.     0.4841 0.5159 0.    ]
22,0,[0.     0.4797 0.5203 0.    ]
22,1,"[0.0, 0.5100198816283359, 0.48998011837166405, 0.0]"
22,2,"[0.0, 0.49583213160704165, 0.5041678683929584, 0.0]"
22,3,[0.    0.488 0.512 0.   ]
23,0,[-0.      0.4786  0.5214 -0.    ]
23,1,"[0.0, 0.532922416805386, 0.467077583194614, 0.0]"
23,2,"[0.0, 0.5060532498265511, 0.4939467501734489, 0.0]"
23,3,"[0.0, 0.52249981947451, 0.4775001805254901, 0.0]"
24,0,[0.     0.5815 0.4185 0.    ]
24,1,"[0.0, 0.5722276274486428, 0.4277723725513572, 0.0]"
24,2,"[0.0, 0.5764421516767496, 0.4235578483232504, 0.0]"
24,3,[0.     0.5791 0.4209 0.    ]
25,0,[-0.      0.4532  0.5468 -0.    ]
25,1,"[0.0, 0.4750595992930768, 0.5249404007069232, 0.0]"
25,2,[0.     0.4612 0.5388 0.    ]
25,3,[0.     0.4598 0.5402 0.    ]
26,0,[0.     0.5077 0.4923 0.    ]
26,1,"[0.0, 0.4677350559352242, 0.5322649440647758, 0.0]"
26,2,"[0.0, 0.48477809087870516, 0.5152219091212948, 0.0]"
26,3,[0.     0.4998 0.5002 0.    ]
27,0,[0.     0.4461 0.5539 0.    ]
27,1,"[0.0, 0.47304679711125885, 0.5269532028887411, 0.0]"
27,2,[0.     0.4603 0.5397 0.    ]
27,3,[0.     0.4556 0.5444 0.    ]
28,0,[-0.      0.4941  0.5059 -0.    ]
28,1,"[0.0, 0.5362941360874142, 0.4637058639125858, 0.0]"
28,2,"[0.0, 0.5154764383778387, 0.48452356162216115, 0.0]"
28,3,[0.     0.5029 0.4971 0.    ]
29,0,[-0.      0.4793  0.5207 -0.    ]
29,1,"[0.0, 0.4952543852586219, 0.504745614741378, 0.0]"
29,2,[0.     0.4874 0.5126 0.    ]
29,3,[0.     0.4817 0.5183 0.    ]
30,0,[-0.      0.5748  0.4252 -0.    ]
30,1,"[0.0, 0.4755085192297689, 0.5244914807702311, 0.0]"
30,2,"[0.0, 0.5235938664099775, 0.47640613359002254, 0.0]"
30,3,[0.     0.5682 0.4318 0.    ]
31,0,[-0.     0.484  0.516 -0.   ]
31,1,"[0.0, 0.41699041744050636, 0.5830095825594936, 0.0]"
