context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,86.0,0.7847932596472523,73.0,0.0162894270557091
1,6.0,0.6651817089675122,3.0,0.0003178538473814
2,35.0,0.6199878978571514,93.0,0.0036477321452659
3,31.0,0.6362956520296618,66.0,0.0033055676476874
4,35.0,0.6794388978883189,43.0,0.0025221963509301
5,31.0,0.766906705255501,3.0,0.0021698243722904
6,2.0,0.5914819737274987,59.0,1.735322923324123e-05
7,32.0,0.6276137644990029,92.0,0.0313483981575922
8,31.0,0.6809082668868774,1.0,0.0014148524361456
9,29.0,0.5440760651187502,30.0,0.0119310258675574
10,8.0,0.6153777151063788,65.0,0.0039560761320778
11,32.0,0.6840436855275115,60.0,0.0014618460763076
12,29.0,0.816788459318777,65.0,0.0139219990026742
13,31.0,0.6291261416817502,85.0,0.0090604477029969
14,16.0,0.7224657816602161,24.0,0.0065715511308843
15,86.0,0.7608037387561384,89.0,0.0078735858061596
16,86.0,0.6727018531600064,12.0,0.0071952202938527
17,16.0,0.5814588102877456,56.0,0.0062261085312813
18,35.0,0.9194414108549916,82.0,0.0056246810188428
19,16.0,0.6144657795954053,57.0,0.0172582129771042
20,77.0,0.8420648744945863,54.0,0.0068994357536624
21,35.0,0.8736579980269868,50.0,0.0198233882351567
22,86.0,0.6607729056590681,33.0,0.0005843250073584
23,29.0,0.7354603090285925,63.0,0.0110558147358986
24,81.0,0.6249006842945818,50.0,0.0030750062484607
25,29.0,0.7707764081371582,96.0,0.0063667199164137
26,29.0,0.8206696169791243,16.0,0.0035469336053937
27,35.0,0.6938244979404787,91.0,0.0012187223366986
28,29.0,0.8970468361327313,8.0,0.0025712141020992
29,15.0,0.7079931876402797,50.0,0.0018936102825839
30,29.0,0.7726237944049174,38.0,0.0037518128734061
31,29.0,0.7513784389575571,51.0,0.0018936621234913
32,12.0,0.8241533788923459,77.0,0.0008016153897394
33,29.0,0.8138589816897186,96.0,0.0013494746068443
34,29.0,0.7807647943680943,52.0,0.0028531585084178
35,28.0,0.7366058021881251,76.0,0.0007234903105444
36,28.0,0.7457384536460541,82.0,0.0001338239910997
37,28.0,0.6816102604356871,83.0,0.0004239077870389
38,28.0,0.7050327241763782,25.0,0.0013472980912071
