context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,93.0,1.1237908822598692,69.0,0.000515124816586
1,79.0,1.0168706024587322,23.0,0.0006191213434196
2,92.0,0.874720083122419,3.0,0.0025257827255827
3,91.0,0.8385730366493959,18.0,0.0004531383863783
4,31.0,1.0010822420957943,76.0,0.0008823851477769
5,79.0,0.9269496893102004,98.0,0.0004339832685871
6,71.0,0.9041925733576588,87.0,0.0002303174958369
7,77.0,1.0599815973449884,92.0,0.0001500429796832
8,42.0,1.0676791622723536,37.0,0.0005653819003806
9,53.0,0.9575696079611828,74.0,0.0008862787891606
10,15.0,0.9235665493224386,33.0,0.0002880792554594
11,93.0,1.0897668315678013,66.0,0.0003607434455449
12,69.0,0.958467432214968,88.0,0.0007223990681242
13,42.0,0.9573208293426164,50.0,7.654832904904763e-05
14,76.0,0.8210481851272042,59.0,0.0004983530973294
15,5.0,0.8881317222974149,17.0,0.0018019140096301
16,31.0,0.9924531527765056,75.0,0.0001378924940938
17,87.0,0.8994584484783339,69.0,0.0011217878801855
18,5.0,0.9802708551734814,41.0,0.000257933061653
19,77.0,0.9882898329379786,21.0,0.0008974443139258
20,79.0,0.941646741187342,54.0,0.0018132739879273
21,93.0,1.159559146793714,22.0,0.0011561346226981
22,30.0,0.9252394553233658,99.0,0.000487733343878
23,69.0,1.104026582447177,9.0,0.0001621294608556
24,18.0,1.1829073219973645,68.0,0.0001337732460569
25,48.0,0.8192774671402012,68.0,0.0002483358122058
26,45.0,0.7525628513520067,59.0,0.0002220971742269
27,48.0,0.9173773094365404,62.0,8.457005381040661e-05
28,73.0,0.8513634017405629,56.0,9.370005779801849e-06
29,73.0,0.7786826359306709,56.0,0.0001941010602587
30,66.0,0.7841861641584902,66.0,0.000114224003534
31,24.0,0.8016512358967562,62.0,0.0001224301935333
32,24.0,0.7553399809423867,37.0,6.610003609616721e-05
33,23.0,0.8176981619592114,37.0,8.015023113470965e-05
34,73.0,0.7977155063747754,8.0,3.669229138909824e-05
35,28.0,0.7305854060040926,98.0,6.122419315765515e-05
36,37.0,0.7735817527587684,69.0,9.807972980951582e-05
37,6.0,0.8908596040008727,2.0,0.0001355407103124
38,37.0,0.7820449887221486,20.0,0.0001363553030412
