context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,98.0,0.9475419010632932,89.0,0.0098664315553222
1,95.0,0.8190964090186563,69.0,0.0045580795569467
2,15.0,0.9001681094347915,67.0,0.0014989690886146
3,17.0,1.0255335213366477,85.0,0.0152252859593483
4,59.0,0.9592283141334462,51.0,0.0022759649450251
5,31.0,0.7435519296581434,96.0,0.0361898289928522
6,17.0,0.9304563894410404,20.0,0.0164376835226217
7,54.0,0.92950789988924,96.0,0.0220982935162332
8,54.0,1.0459855468869952,75.0,0.0014892356681562
9,57.0,0.8621985372386196,72.0,0.023274643830946
10,31.0,0.7736214836121019,38.0,0.0066591344966923
11,17.0,0.9791798475470416,99.0,0.0010065900919367
12,37.0,0.9236247944853369,89.0,0.0046840446026782
13,37.0,1.0750440739164235,72.0,0.006594624462712
14,98.0,0.908163879802023,90.0,0.0001983336530341
15,39.0,0.9065950773924092,26.0,0.0024855002275028
16,98.0,1.002571885651746,16.0,0.0048253566174649
17,17.0,1.2212704120647504,78.0,0.0081335309164589
18,98.0,0.9060111547390056,61.0,0.00645274988948
19,17.0,1.1446968434759688,96.0,0.0026846526833325
20,83.0,0.7303206491074221,28.0,0.0054954759675382
21,95.0,1.0150625651788263,60.0,0.0070996281942609
22,37.0,1.048531733293084,88.0,0.0285564481221973
23,17.0,0.8900121897985307,9.0,0.0141285424422488
24,95.0,1.002358289639726,99.0,0.0075892884225414
25,52.0,0.8523560538364963,31.0,0.0100272802941891
26,95.0,1.0210044643431455,67.0,0.000624659986493
27,95.0,0.9750619209340974,68.0,2.5443128663974867e-05
28,51.0,1.0166019317933832,2.0,0.0005035672657717
29,86.0,1.0293971983649324,89.0,0.0021689776295907
30,26.0,1.07824709073853,31.0,0.0016823470584192
31,26.0,0.9094923927117424,66.0,0.0027210550613696
32,26.0,1.0510038894281644,90.0,0.0048833253767442
33,72.0,1.0014907750906168,63.0,0.0031216602047071
34,26.0,1.0682210186917669,89.0,0.0043136410265293
35,15.0,0.9634034727780084,73.0,0.0007590730167735
36,15.0,0.914731249762007,98.0,0.001187524701402
37,83.0,0.8618660382977363,65.0,0.0006821621034247
38,46.0,0.8642666653809555,28.0,0.0002357857302009
