context,agent_max,satisfaction_max,agent_min,satisfaction_min
0,94.0,0.749118570632295,73.0,0.0013433944893081
1,6.0,0.6658577805936966,75.0,0.0090160091976769
2,35.0,0.6771855729101287,38.0,0.0043812737834162
3,31.0,0.6188549433789599,95.0,0.0042196572774061
4,35.0,0.7188624994647885,21.0,0.0107895409033454
5,29.0,0.7699022895773457,82.0,0.0064908554695353
6,2.0,0.5811720204207422,3.0,0.0027259407328464
7,11.0,0.7239880147005686,87.0,0.0308791333157116
8,31.0,0.6846479166222645,1.0,0.0032965653273394
9,20.0,0.5620382105797737,22.0,0.0034227615038716
10,8.0,0.5092100793500258,33.0,6.130954548670339e-05
11,32.0,0.6610277601975192,36.0,0.0067916817993756
12,29.0,0.7436572293706467,82.0,0.0136061636766242
13,29.0,0.6385902485057533,62.0,0.0127346164223558
14,35.0,0.8133877847695553,22.0,0.0294337548785454
15,86.0,0.7478141070194886,41.0,0.0140950514630394
16,86.0,0.7262897300182838,43.0,0.0139835156031606
17,16.0,0.50682705371443,59.0,0.0021261548825319
18,35.0,0.917474735360174,82.0,0.0121839171721572
19,16.0,0.583419245987072,57.0,0.0253615795825076
20,77.0,0.8876358467785492,78.0,0.0005952193629433
21,35.0,0.9160150767056958,50.0,0.02290395137292
22,86.0,0.6607729056590681,45.0,0.0025539934720712
23,29.0,0.7364378331715816,21.0,0.0110700243842483
24,81.0,0.6258435504567728,52.0,0.0027832369169443
25,29.0,0.7725988770682916,22.0,0.0075054345571672
26,29.0,0.8201675261888622,84.0,0.0032404732425778
27,29.0,0.7575698904533714,73.0,0.001808007109548
28,29.0,0.7900804068800106,38.0,0.000224153503414
29,35.0,0.7065977462168369,1.0,0.0002770064421746
30,29.0,0.8003668794395956,40.0,0.0041892559002961
31,29.0,0.7344229971214105,63.0,0.0004779187652972
32,12.0,0.8147101594369193,32.0,0.0049009379664355
33,29.0,0.7898494508773755,96.0,0.0010525193701842
34,29.0,0.785962350908255,13.0,0.0037029320027503
35,28.0,0.854464106427381,20.0,0.0003780620064352
36,28.0,0.7713494133846152,2.0,0.0011731537900409
37,28.0,0.6879145767568653,52.0,0.000512241111965
38,28.0,0.6927011789252154,25.0,0.0001063864163532
