context,p_value,agent,satisfaction
8,1,3.0,0.33325489672867964
8,2,74.0,0.27227260376104134
8,2,18.0,0.3676173237683039
8,2,58.0,0.032841155546919576
8,2,3.0,0.30976312769994907
8,3,74.0,0.2516115695660785
8,3,18.0,0.34695628957334107
8,3,58.0,0.05350218974188241
8,3,3.0,0.2891020935049862
9,0,92.0,0.4712902206336655
9,0,33.0,0.7271198071249341
9,0,77.0,0.4628264216856066
9,0,7.0,0.33541425106010314
9,1,92.0,0.25583548975754394
9,1,33.0,0.5116650762488124
9,1,77.0,0.24737169080948504
9,1,7.0,0.1199595201839816
9,2,92.0,0.37029161942869926
9,2,33.0,0.6261212059199678
9,2,77.0,0.3618278204806404
9,2,7.0,0.23441564985513694
9,3,92.0,0.4047366275110753
9,3,33.0,0.6605662140023438
9,3,77.0,0.39627282856301643
9,3,7.0,0.268860657937513
10,0,1.0,0.36616352965870874
10,0,76.0,0.359134439650079
10,0,43.0,0.4986467347644777
10,0,8.0,0.05630014580122357
10,1,1.0,0.5119593677423862
10,1,76.0,0.5049302777337565
10,1,43.0,0.6444425728481551
10,1,8.0,0.08949569228245388
10,2,1.0,0.4935496236150782
10,2,76.0,0.4865205336064485
10,2,43.0,0.6260328287208472
10,2,8.0,0.07108594815514588
10,3,1.0,0.4098178923416033
10,3,76.0,0.4027888023329736
10,3,43.0,0.5423010974473723
10,3,8.0,0.012645783118329007
11,0,94.0,0.06063423242810442
11,0,21.0,0.2039032188234114
11,0,16.0,0.34410756874887605
11,0,19.0,0.003602163918785206
11,1,94.0,0.09819960065583158
11,1,21.0,0.24146858705113855
11,1,16.0,0.3816729369766032
11,1,19.0,0.041167532146512364
11,2,94.0,0.07727103125930421
11,2,21.0,0.22054001765461118
11,2,16.0,0.3607443675800759
11,2,19.0,0.02023896274998499
11,3,94.0,0.06343721462983784
11,3,21.0,0.2067062010251448
11,3,16.0,0.3469105509506095
11,3,19.0,0.006405146120518623
12,0,46.0,0.010105854658123602
12,0,55.0,0.013771304424468736
12,0,9.0,0.3561120365141917
12,0,87.0,0.21582262900639
12,1,46.0,0.2853890377369336
12,1,55.0,0.2615118786543413
12,1,9.0,0.6313952195930017
12,1,87.0,0.4911058120852
12,2,46.0,0.14661341603598155
12,2,55.0,0.12273625695338922
12,2,9.0,0.4926195978920497
12,2,87.0,0.35233019038424795
12,3,46.0,0.08157322506919953
12,3,55.0,0.0576960659866072
12,3,9.0,0.42757940692526764
12,3,87.0,0.2872899994174659
13,0,14.0,0.298204238379022
13,0,0.0,0.020995774792849364
13,0,40.0,0.11816151574427036
13,0,23.0,0.30824921253866605
13,1,14.0,0.17393625285505745
13,1,0.0,0.1032722107311152
13,1,40.0,0.006106469779694201
13,1,23.0,0.1839812270147015
13,2,14.0,0.21877150362038458
13,2,0.0,0.05843695996578807
13,2,40.0,0.03872878098563293
