context,p,decision
24,0,"[np.float64(-0.22371797539821509), np.float64(-0.004966961417586832)]"
24,1,"[-0.20250367471309835, 0.09078698646834021]"
24,2,"[-0.21761198331060505, 0.037491697099876]"
24,3,"[np.float64(-0.2224441694988836), np.float64(0.002946123614483223)]"
25,0,"[np.float64(-0.1494067851792942), np.float64(0.1413230830095214)]"
25,1,"[-0.047172749349145726, 0.033658217102134326]"
25,2,"[-0.11990841533933118, 0.07327440522182856]"
25,3,"[np.float64(-0.13237085562111814), np.float64(0.09959888736293394)]"
26,0,"[np.float64(-0.09652650923388978), np.float64(0.07770823697608856)]"
26,1,"[0.06266157759223442, 0.07494516524559211]"
26,2,"[np.float64(-0.03984508872386609), np.float64(0.06185776830628844)]"
26,3,"[-0.0025135781026346254, 0.05054984211697082]"
27,0,"[np.float64(0.031892417733750254), np.float64(-0.0021135084543206333)]"
27,1,"[0.01130088224949595, -0.016786103073930445]"
27,2,"[np.float64(0.028496105850316922), np.float64(-0.013799155452593036)]"
27,3,"[np.float64(0.012193638791648288), np.float64(-0.037763481160329085)]"
28,0,"[np.float64(-0.007089057468271397), np.float64(0.03503612832755554)]"
28,1,"[0.1627757995604513, -0.1096443227311046]"
28,2,"[0.041006097798614485, -0.06561011018624562]"
28,3,"[0.0956981021107289, -0.0807054898266068]"
29,0,"[np.float64(-0.02164927054511505), np.float64(-0.15469403103963683)]"
29,1,"[-0.11103433190584916, -0.12395825981169867]"
29,2,"[-0.038936430116466046, -0.1437331057395259]"
29,3,"[-0.07675032830225857, -0.1293435861170476]"
30,0,"[np.float64(0.03829353936027216), np.float64(-0.10826545470921844)]"
30,1,"[0.008521420846205538, -0.1935684325066886]"
30,2,"[np.float64(0.025684997787875547), np.float64(-0.12717302449981144)]"
30,3,"[0.026831131226006038, -0.16061184516112903]"
31,0,"[np.float64(0.24309761433013824), np.float64(-0.10600514490508044)]"
31,1,"[0.06510032212825566, -0.13936099690370607]"
31,2,"[0.09389855983802231, -0.14097105083290348]"
31,3,"[0.17671687585694235, -0.1262526270820716]"
