,context,p_value,agent,satisfaction,Cumulative_Satisfaction
0,0,3,15.0,0.6356202701930724,0.6356202701930724
1,1,3,15.0,0.6205901132960345,1.256210383489107
2,2,3,15.0,0.5658782645070841,1.822088647996191
3,3,3,15.0,0.4292290241413736,2.2513176721375645
4,4,3,15.0,0.9218975347081771,3.1732152068457418
5,5,3,15.0,0.5212125458297872,3.694427752675529
6,6,3,15.0,0.5002241300252518,4.19465188270078
7,7,3,15.0,0.4151669201091077,4.6098188028098885
8,8,3,15.0,0.5628779588535788,5.172696761663468
9,9,3,15.0,0.3643806752324534,5.53707743689592
10,10,3,15.0,0.5351254101948002,6.072202847090721
11,11,3,15.0,0.8551380577275807,6.927340904818301
12,12,3,15.0,0.3144875940234102,7.241828498841712
13,13,3,15.0,0.3548753361078312,7.596703834949543
14,14,3,15.0,0.3855599634984477,7.98226379844799
15,15,3,15.0,0.315758303590896,8.298022102038887
16,16,3,15.0,0.5064532188049293,8.804475320843816
17,17,3,15.0,0.2949369223662078,9.099412243210024
18,18,3,15.0,0.3581487539914252,9.45756099720145
19,19,3,15.0,0.2934965980443739,9.751057595245822
20,20,3,15.0,0.5139385162558601,10.264996111501683
21,21,3,15.0,0.2644987568032554,10.529494868304939
22,22,3,15.0,0.3654413202342486,10.894936188539187
23,23,3,15.0,0.5750493162829182,11.469985504822105
24,24,3,15.0,0.8132161711569964,12.283201675979102
25,25,3,15.0,0.8917217092719021,13.174923385251004
26,26,3,15.0,0.8544668487252739,14.029390233976278
27,27,3,15.0,0.9599262908017382,14.989316524778015
28,28,3,15.0,0.8813019594135401,15.870618484191557
29,29,3,15.0,0.8658437497539107,16.736462233945467
30,30,3,15.0,0.7726606999542469,17.509122933899715
31,31,3,15.0,0.802511784705298,18.31163471860501
32,32,3,15.0,0.8181716310488368,19.129806349653848
33,33,3,15.0,0.7912652955764892,19.921071645230338
34,34,3,15.0,0.7697623392097777,20.690833984440115
35,35,3,15.0,0.8645376208509639,21.55537160529108
