,Mean_Decisiveness
decs_egalitarian_societyp1,0.2050154520630161
decs_egalitarian_societyp10,0.20168408226667162
decs_egalitarian_societypt,0.19245707937149265
decs_egalitarian_societypHCVA,0.2012768527945391
